fund,bank_name,city,state,location,latitude,longitude,faildate,qbfasset
10355,New Horizons Bank,East Ellijay,GA,"East Ellijay, GA",34.6839746,-84.4727049,4/15/2011,103055
10353,Bartow County Bank,Cartersville,GA,"Cartersville, GA",34.1652304,-84.7997613,4/15/2011,314019
10351,Nevada Commerce Bank,Las Vegas,NV,"Las Vegas, NV",36.1672559,-115.148516,4/8/2011,135064
10352,Western Springs National Bank and Trust,Western Springs,IL,"Western Springs, IL",41.8096132,-87.900671,4/8/2011,186677
10350,The Bank of Commerce,Wood Dale,IL,"Wood Dale, IL",41.9633625,-87.9789562,3/25/2011,163074
10348,Legacy Bank,Milwaukee,WI,"Milwaukee, WI",43.0349931,-87.922497,3/11/2011,190418
10349,First National Bank of Davis,Davis,OK,"Davis, OK",34.5034796,-97.1188924,3/11/2011,90183
10347,Valley Community Bank,St. Charles,IL,"St. Charles, IL",41.9139808,-88.3128183,2/25/2011,123774
10346,"San Luis Trust Bank, FSB",San Luis Obispo,CA,"San Luis Obispo, CA",35.3540209,-120.3757163,2/18/2011,332596
10343,Charter Oak Bank,Napa,CA,"Napa, CA",38.2971367,-122.2855293,2/18/2011,120833
10344,Citizens Bank of Effingham,Springfield,GA,"Springfield, GA",32.3724131,-81.3114988,2/18/2011,214275
10345,Habersham Bank,Clarkesville,GA,"Clarkesville, GA",34.6125971,-83.5248933,2/18/2011,387681
10340,Canyon National Bank,Palm Springs,CA,"Palm Springs, CA",33.77217945,-116.49529769683984,2/11/2011,210859
10339,Badger State Bank,Cassville,WI,"Cassville, WI",42.7144408,-90.9907697,2/11/2011,83828
10341,Peoples State Bank,Hamtramck,MI,"Hamtramck, MI",42.3928151,-83.0496438,2/11/2011,390524
10342,Sunshine State Community Bank,Port Orange,FL,"Port Orange, FL",29.10162805,-81.01059617608054,2/11/2011,125531
10337,Community First Bank Chicago,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,2/4/2011,51083
10338,North Georgia Bank,Watkinsville,GA,"Watkinsville, GA",33.8628959,-83.4087709,2/4/2011,153172
10336,American Trust Bank,Roswell,GA,"Roswell, GA",34.02332,-84.360022,2/4/2011,238205
10333,First Community Bank,Taos,NM,"Taos, NM",36.4072377,-105.573284,1/28/2011,2188154
10334,FirsTier Bank,Louisville,CO,"Louisville, CO",38.2542376,-85.759407,1/28/2011,764090
10332,Evergreen State Bank,Stoughton,WI,"Stoughton, WI",42.9167389,-89.2178997,1/28/2011,240949
10335,The First State Bank,Camargo,OK,"Camargo, OK",36.0174879,-99.2900229,1/28/2011,44546
10331,United Western Bank,Denver,CO,"Denver, CO",39.7392364,-104.984862,1/21/2011,2153690
10330,The Bank of Asheville,Asheville,NC,"Asheville, NC",35.6009498,-82.5540161,1/21/2011,204925
10328,CommunitySouth Bank & Trust,Easley,SC,"Easley, SC",34.8269276,-82.5817053,1/21/2011,340986
10329,Enterprise Banking Company,McDonough,GA,"McDonough, GA",33.4473361,-84.1468616,1/21/2011,99461
10327,Oglethorpe Bank,Brunswick,GA,"Brunswick, GA",31.1499528,-81.4914894,1/14/2011,211149
10326,Legacy Bank,Scottsdale,AZ,"Scottsdale, AZ",33.4942189,-111.9260184,1/7/2011,136446
10325,First Commercial Bank of Florida,Orlando,FL,"Orlando, FL",28.5421109,-81.3790304,1/7/2011,578638
10321,Community National Bank,Lino Lakes,MN,"Lino Lakes, MN",45.1602442,-93.0888324,12/17/2010,31569
10322,First Southern Bank,Batesville,AR,"Batesville, AR",35.769799,-91.6409722,12/17/2010,191764
10323,"United Americas Bank, N.A.",Atlanta,GA,"Atlanta, GA",33.7489924,-84.3902644,12/17/2010,242339
10319,"Appalachian Community Bank, FSB",McCaysville,GA,"McCaysville, GA",34.9861914,-84.3713117,12/17/2010,68201
10320,Chestatee State Bank,Dawsonville,GA,"Dawsonville, GA",34.4212053,-84.1190804,12/17/2010,244376
10324,"The Bank of Miami,N.A.",Coral Gables,FL,"Coral Gables, FL",25.72149,-80.2683838,12/17/2010,448150
10317,Earthstar Bank,Southampton,PA,"Southampton, PA",40.1742759,-75.0437814,12/10/2010,112643
10318,Paramount Bank,Farmington Hills,MI,"Farmington Hills, MI",42.4853125,-83.3771553,12/10/2010,252744
10315,First Banking Center,Burlington,WI,"Burlington, WI",42.6780758,-88.27619,11/19/2010,750724
10314,Allegiance Bank of North America,Bala Cynwyd,PA,"Bala Cynwyd, PA",40.0076125,-75.2340695,11/19/2010,106595
10316,Gulf State Community Bank,Carrabelle,FL,"Carrabelle, FL",29.8532645,-84.664348,11/19/2010,112144
10311,Copper Star Bank,Scottsdale,AZ,"Scottsdale, AZ",33.4942189,-111.9260184,11/12/2010,203955
10312,Darby Bank & Trust Co.,Vidalia,GA,"Vidalia, GA",32.2176855,-82.4134614,11/12/2010,654714
10313,Tifton Banking Company,Tifton,GA,"Tifton, GA",31.4549719,-83.5108284,11/12/2010,143729
10307,First Vietnamese American Bank,Westminster,CA,"Westminster, CA",33.7578725,-117.9859054,11/5/2010,48000
10309,Pierce Commercial Bank,Tacoma,WA,"Tacoma, WA",47.2455013,-122.438329,11/5/2010,221082
10310,Western Commercial Bank,Woodland Hills,CA,"Woodland Hills, CA",34.1684364,-118.6058382,11/5/2010,98635
10308,K Bank,Randallstown,MD,"Randallstown, MD",39.36909865,-76.79584212721417,11/5/2010,538258
10306,"First Arizona Savings, A FSB",Scottsdale,AZ,"Scottsdale, AZ",33.4942189,-111.9260184,10/22/2010,255920
10302,Hillcrest Bank,Overland Park,KS,"Overland Park, KS",38.9742502,-94.6851702,10/22/2010,1583611
10301,First Suburban National Bank,Maywood,IL,"Maywood, IL",41.8789942,-87.8436412,10/22/2010,143451
10304,The First National Bank of Barnesville,Barnesville,GA,"Barnesville, GA",33.0545709,-84.1557496,10/22/2010,126622
10305,The Gordon Bank,Gordon,GA,"Gordon, GA",34.5019651,-84.8986308,10/22/2010,29259
10303,Progress Bank of Florida,Tampa,FL,"Tampa, FL",27.9477595,-82.458444,10/22/2010,94823
10300,First Bank of Jacksonville,Jacksonville,FL,"Jacksonville, FL",30.3321838,-81.655651,10/22/2010,73922
10297,Premier Bank,Jefferson City,MO,"Jefferson City, MO",38.577359,-92.1724265,10/15/2010,989382
10299,WestBridge Bank and Trust Company,Chesterfield,MO,"Chesterfield, MO",38.661953,-90.5643258,10/15/2010,87782
10298,"Security Savings Bank, F.S.B.",Olathe,KS,"Olathe, KS",38.8838856,-94.81887,10/15/2010,453349
10295,Shoreline Bank,Shoreline,WA,"Shoreline, WA",47.7564667,-122.3437497,10/1/2010,92980
10296,Wakulla Bank,Crawfordville,FL,"Crawfordville, FL",30.1760358,-84.3751778,10/1/2010,402205
10294,North County Bank,Arlington,WA,"Arlington, WA",48.1810957,-122.1389548,9/24/2010,288776
10293,Haven Trust Bank Florida,Ponte Vedra Beach,FL,"Ponte Vedra Beach, FL",30.2396865,-81.3856384,9/24/2010,148575
10291,Maritime Savings Bank,West Allis,WI,"West Allis, WI",43.0166806,-88.0070315,9/17/2010,350488
10288,Bramble Savings Bank,Milford,OH,"Milford, OH",39.174625,-84.2958988,9/17/2010,47523
10292,The Peoples Bank,Winder,GA,"Winder, GA",33.9919085,-83.7184368,9/17/2010,447185
10289,First Commerce Community Bank,Douglasville,GA,"Douglasville, GA",33.7514966,-84.7477136,9/17/2010,248151
10287,Bank of Ellijay,Ellijay,GA,"Ellijay, GA",34.6950278,-84.4827394,9/17/2010,168820
10290,ISN Bank,Cherry Hill,NJ,"Cherry Hill, NJ",39.9348351,-75.0307264,9/17/2010,81564
10286,Horizon Bank,Bradenton,FL,"Bradenton, FL",27.4989278,-82.5748194,9/10/2010,187819
10285,Sonoma Valley Bank,Sonoma,CA,"Sonoma, CA",38.5110803,-122.8473388,8/20/2010,337113
10282,Los Padres Bank,Solvang,CA,"Solvang, CA",34.595887,-120.139071,8/20/2010,866459
10278,Butte Community Bank,Chico,CA,"Chico, CA",39.7284945,-121.8374777,8/20/2010,498751
10283,Pacific State Bank,Stockton,CA,"Stockton, CA",37.9577016,-121.2907796,8/20/2010,312077
10284,ShoreBank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,8/20/2010,2166431
10280,Imperial Savings and Loan Association,Martinsville,VA,"Martinsville, VA",36.6915262,-79.8725386,8/20/2010,9448
10281,Independent National Bank,Ocala,FL,"Ocala, FL",29.1871986,-82.1400923,8/20/2010,156218
10279,Community National Bank at Bartow,Bartow,FL,"Bartow, FL",27.8851866,-81.81408775862916,8/20/2010,67918
10277,Palos Bank and Trust Company,Palos Heights,IL,"Palos Heights, IL",41.6681632,-87.7962812,8/13/2010,493391
10276,Ravenswood Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,8/6/2010,264628
10273,LibertyBank,Eugene,OR,"Eugene, OR",44.0505054,-123.0950506,7/30/2010,714574
10275,The Cowlitz Bank,Longview,WA,"Longview, WA",46.1377048,-122.934462,7/30/2010,489019
10272,Coastal Community Bank,Panama City Beach,FL,"Panama City Beach, FL",30.1765914,-85.805386,7/30/2010,377469
10271,Bayside Savings Bank,Port Saint Joe,FL,"Port Saint Joe, FL",29.8118757,-85.302974,7/30/2010,64344
10274,Northwest Bank & Trust,Acworth,GA,"Acworth, GA",34.0659329,-84.6768796,7/30/2010,160763
10266,Home Valley Bank,Cave Junction,OR,"Cave Junction, OR",42.1633443,-123.6479309,7/23/2010,250488
10267,SouthwestUSA Bank,Las Vegas,NV,"Las Vegas, NV",36.1672559,-115.148516,7/23/2010,203690
10264,Community Security Bank,New Prague,MN,"New Prague, MN",44.5433331,-93.5760445,7/23/2010,100649
10269,Thunder Bank,Sylvan Grove,KS,"Sylvan Grove, KS",39.009454,-98.394228,7/23/2010,28248
10270,Williamsburg First National Bank,Kingstree,SC,"Kingstree, SC",33.6676643,-79.8306265,7/23/2010,130411
10265,Crescent Bank and Trust Company,Jasper,GA,"Jasper, GA",33.3254635,-83.6868559,7/23/2010,970235
10268,Sterling Bank,Lantana,FL,"Lantana, FL",26.5865308,-80.052166,7/23/2010,354966
10258,"Mainstreet Savings Bank, FSB",Hastings,MI,"Hastings, MI",44.7426933,-92.8518697,7/16/2010,96584
10260,Olde Cypress Community Bank,Clewiston,FL,"Clewiston, FL",26.7542312,-80.9336753,7/16/2010,161355
10261,Turnberry Bank,Aventura,FL,"Aventura, FL",25.9564812,-80.1392121,7/16/2010,240251
10259,Metro Bank of Dade County,Miami,FL,"Miami, FL",25.7741728,-80.19362,7/16/2010,399441
10263,First National Bank of the South,Spartanburg,SC,"Spartanburg, SC",34.9498007,-81.9320157,7/16/2010,619374
10262,Woodlands Bank,Bluffton,SC,"Bluffton, SC",32.2371465,-80.8603868,7/16/2010,382803
10256,Home National Bank,Blackwell,OK,"Blackwell, OK",36.8018163,-97.2861191,7/9/2010,585445
10254,USA Bank,Port Chester,NY,"Port Chester, NY",41.0017643,-73.6656834,7/9/2010,190678
10257,Ideal Federal Savings Bank,Baltimore,MD,"Baltimore, MD",39.2908816,-76.610759,7/9/2010,6177
10255,Bay National Bank,Baltimore,MD,"Baltimore, MD",39.2908816,-76.610759,7/9/2010,217743
10252,High Desert State Bank,Albuquerque,NM,"Albuquerque, NM",35.0841034,-106.650985,6/25/2010,80343
10251,First National Bank,Savannah,GA,"Savannah, GA",32.0564572,-81.0951271,6/25/2010,252520
10253,Peninsula Bank,Englewood,FL,"Englewood, FL",26.9606125,-82.3576323996642,6/25/2010,630179
10250,Nevada Security Bank,Reno,NV,"Reno, NV",39.5261206,-119.8126581,6/18/2010,492491
10249,Washington First International Bank,Seattle,WA,"Seattle, WA",47.6038321,-122.330062,6/11/2010,520887
10248,TierOne Bank,Lincoln,NE,"Lincoln, NE",40.8088861,-96.7077751,6/4/2010,2824737
10246,Arcola Homestead Savings Bank,Arcola,IL,"Arcola, IL",39.684755,-88.3064367,6/4/2010,17028
10247,First National Bank,Rosedale,MS,"Rosedale, MS",33.8551004,-91.0266112,6/4/2010,60449
10245,Sun West Bank,Las Vegas,NV,"Las Vegas, NV",36.1672559,-115.148516,5/28/2010,360662
10244,"Granite Community Bank, NA",Granite Bay,CA,"Granite Bay, CA",38.7632346,-121.1638361,5/28/2010,102913
10243,Bank of Florida - Tampa,Tampa,FL,"Tampa, FL",27.9477595,-82.458444,5/28/2010,240513
10242,Bank of Florida - Southwest,Naples,FL,"Naples, FL",26.1421976,-81.7942944,5/28/2010,640894
10241,Bank of Florida - Southeast,Fort Lauderdale,FL,"Fort Lauderdale, FL",26.1223084,-80.1433786,5/28/2010,595318
10240,Pinehurst Bank,Saint Paul,MN,"Saint Paul, MN",44.9497487,-93.0931028,5/21/2010,61215
10236,Midwest Bank and Trust Company,Elmwood Park,IL,"Elmwood Park, IL",41.9205931,-87.8160169,5/14/2010,3172915
10239,Southwest Community Bank,Springfield,MO,"Springfield, MO",37.1968298,-93.2946576,5/14/2010,100659
10237,New Liberty Bank,Plymouth,MI,"Plymouth, MI",45.0065149,-93.46651,5/14/2010,111239
10238,Satilla Community Bank,Saint Marys,GA,"Saint Marys, GA",30.593752,-82.012049,5/14/2010,135688
10232,1st Pacific Bank of California,San Diego,CA,"San Diego, CA",32.7174202,-117.1627728,5/7/2010,335798
10235,Towne Bank of Arizona,Mesa,AZ,"Mesa, AZ",33.4151005,-111.8314552,5/7/2010,120246
10233,Access Bank,Champlin,MN,"Champlin, MN",45.1888539,-93.3974538,5/7/2010,31996
10234,The Bank of Bonifay,Bonifay,FL,"Bonifay, FL",30.7918559,-85.6796533,5/7/2010,242871
10228,Frontier Bank,Everett,WA,"Everett, WA",47.9673056,-122.201399,4/30/2010,3250734
10225,BC National Banks,Butler,MO,"Butler, MO",36.7151346,-90.4146358,4/30/2010,52204
10227,Champion Bank,Creve Coeur,MO,"Creve Coeur, MO",38.6613007,-90.4423653,4/30/2010,195510
10226,CF Bancorp,Port Huron,MI,"Port Huron, MI",42.9815877,-82.440466,4/30/2010,1599122
10231,Westernbank Puerto Rico,Mayaguez,PR,"Mayaguez, PR",18.2011161,-67.1391124,4/30/2010,10797345
10230,R-G Premier Bank of Puerto Rico,Hato Rey,PR,"Hato Rey, PR",18.3988812,-67.0845472,4/30/2010,5681177
10229,Eurobank,San Juan,PR,"San Juan, PR",18.465299,-66.116666,4/30/2010,2453138
10224,Wheatland Bank,Naperville,IL,"Naperville, IL",41.7728699,-88.1479278,4/23/2010,441694
10223,Peotone Bank and Trust Company,Peotone,IL,"Peotone, IL",41.3323725,-87.7850863,4/23/2010,130165
10221,Lincoln Park Savings Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,4/23/2010,194618
10222,New Century Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,4/23/2010,447239
10220,Citizens Bank and Trust Company of Chicago,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,4/23/2010,73490
10219,Broadway Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212,4/23/2010,1059194
10218,"Amcore Bank, National Association",Rockford,IL,"Rockford, IL",42.2713945,-89.093966,4/23/2010,3066240
10212,City Bank,Lynnwood,WA,"Lynnwood, WA",47.8278656,-122.3053932,4/16/2010,981913
10217,Tamalpais Bank,San Rafael,CA,"San Rafael, CA",37.9735346,-122.5310874,4/16/2010,611504
10214,Innovative Bank,Oakland,CA,"Oakland, CA",37.8044557,-122.271356,4/16/2010,266816
10211,Butler Bank,Lowell,MA,"Lowell, MA",42.6414437,-71.3085329,4/16/2010,245534
10216,Riverside National Bank of Florida,Fort Pierce,FL,"Fort Pierce, FL",27.4467056,-80.3256056,4/16/2010,3393818
10210,AmericanFirst Bank,Clermont,FL,"Clermont, FL",28.5494447,-81.7728543,4/16/2010,104034
10213,First Federal Bank of North Florida,Palatka,FL,"Palatka, FL",29.6487882,-81.6372111,4/16/2010,440122
10215,Lakeside Community Bank,Sterling Heights,MI,"Sterling Heights, MI",42.5803122,-83.0302033,4/16/2010,49173
10209,Beach First National Bank,Myrtle Beach,SC,"Myrtle Beach, SC",33.6956461,-78.8900409,4/9/2010,590024
10205,Desert Hills Bank,Phoenix,AZ,"Phoenix, AZ",33.4484367,-112.074141,3/26/2010,496552
10208,Unity National Bank,Cartersville,GA,"Cartersville, GA",34.1652304,-84.7997613,3/26/2010,300590
10206,Key West Bank,Key West,FL,"Key West, FL",24.5625566,-81.7724368,3/26/2010,88031
10207,McIntosh Commercial Bank,Carrollton,GA,"Carrollton, GA",33.5801103,-85.0766113,3/26/2010,363405
10203,State Bank of Aurora,Aurora,MN,"Aurora, MN",47.5298533,-92.2367644,3/19/2010,28159
10204,First Lowndes Bank,Fort Deposit,AL,"Fort Deposit, AL",31.9845929,-86.5785856,3/19/2010,137175
10202,Bank of Hiawassee,Hiawassee,GA,"Hiawassee, GA",34.947959,-83.7569922,3/19/2010,377779
10199,Appalachian Community Bank,Ellijay,GA,"Ellijay, GA",34.6950278,-84.4827394,3/19/2010,1010075
10200,Advanta Bank Corp.,Draper,UT,"Draper, UT",40.5247777,-111.8627989,3/19/2010,1525931
10198,Century Security Bank,Duluth,GA,"Duluth, GA",34.0028569,-84.1441046,3/19/2010,96535
10201,American National Bank,Parma,OH,"Parma, OH",41.3822398,-81.7355692,3/19/2010,70318
10196,Statewide Bank,Covington,LA,"Covington, LA",31.196549,-86.4597236,3/12/2010,243215
10197,Old Southern Bank,Orlando,FL,"Orlando, FL",28.5421109,-81.3790304,3/12/2010,336390
10195,The Park Avenue Bank,New York,NY,"New York, NY",40.7127281,-74.0060152,3/12/2010,520146
10194,LibertyPointe Bank,New York,NY,"New York, NY",40.7127281,-74.0060152,3/11/2010,216500
10193,Centennial Bank,Ogden,UT,"Ogden, UT",41.2230048,-111.9738429,3/5/2010,212839
10190,Waterfield Bank,Germantown,MD,"Germantown, MD",39.17130815,-77.26557848822242,3/5/2010,155566
10191,Bank of Illinois,Normal,IL,"Normal, IL",40.5092961,-88.9843937,3/5/2010,211711
10192,Sun American Bank,Boca Raton,FL,"Boca Raton, FL",26.3586885,-80.0830984,3/5/2010,535724
10189,Rainier Pacific Bank,Tacoma,WA,"Tacoma, WA",47.2455013,-122.438329,2/26/2010,717806
10188,Carson River Community Bank,Carson City,NV,"Carson City, NV",39.1698022,-119.7575628,2/26/2010,51095
10185,"La Jolla Bank, FSB",La Jolla,CA,"La Jolla, CA",32.8401623,-117.2740777,2/19/2010,3646071
10184,George Washington Savings Bank,Orland Park,IL,"Orland Park, IL",41.630663,-87.8536288,2/19/2010,413673
10186,The La Coste National Bank,La Coste,TX,"La Coste, TX",29.3102726,-98.8129169,2/19/2010,53936
10187,Marco Community Bank,Marco Island,FL,"Marco Island, FL",25.9363356,-81.7156832,2/19/2010,119578
10183,1st American State Bank of Minnesota,Hancock,MN,"Hancock, MN",45.497461,-95.796714,2/5/2010,18155
10178,American Marine Bank,Bainbridge Island,WA,"Bainbridge Island, WA",47.6475683,-122.54602915532404,1/29/2010,329246
10177,First Regional Bank,Los Angeles,CA,"Los Angeles, CA",34.0536909,-118.242766,1/29/2010,2082684
10180,Community Bank and Trust,Cornelia,GA,"Cornelia, GA",34.5114883,-83.5271166,1/29/2010,1181717
10182,"Marshall Bank, N.A.",Hallock,MN,"Hallock, MN",48.7744263,-96.946447,1/29/2010,58566
10181,Florida Community Bank,Immokalee,FL,"Immokalee, FL",26.42016,-81.42224084651733,1/29/2010,835701
10179,First National Bank of Georgia,Carrollton,GA,"Carrollton, GA",33.5801103,-85.0766113,1/29/2010,840633
10176,Columbia River Bank,The Dalles,OR,"The Dalles, OR",45.6015056,-121.1841587,1/22/2010,955112
10172,Evergreen Bank,Seattle,WA,"Seattle, WA",47.6038321,-122.330062,1/22/2010,395980
10175,Charter Bank,Santa Fe,NM,"Santa Fe, NM",35.6876096,-105.938456,1/22/2010,1201922
10174,Bank of Leeton,Leeton,MO,"Leeton, MO",38.5830717,-93.694658,1/22/2010,20128
10173,Premier American Bank,Miami,FL,"Miami, FL",25.7741728,-80.19362,1/22/2010,299225
10171,Barnes Banking Company,Kaysville,UT,"Kaysville, UT",41.0349847,-111.9383931,1/15/2010,709171
10169,St. Stephen State Bank,St. Stephen,MN,"St. Stephen, MN",45.702743,-94.2744404,1/15/2010,22895
10170,Town Community Bank & Trust,Antioch,IL,"Antioch, IL",42.4767131,-88.0950691,1/15/2010,70758
10168,Horizon Bank,Bellingham,WA,"Bellingham, WA",48.7544012,-122.478836,1/8/2010,1188956
10167,"First Federal Bank of California, F.S.B.",Santa Monica,CA,"Santa Monica, CA",34.0194704,-118.491227,12/18/2009,6143903
