bank_name,city,state,cert,acquiring_institution,closing_date,fund,total_assets,total_liabilities,net_worth_deficit
Oglethorpe Bank,Brunswick,GA,57440,Bank of the Ozarks,14-Jan-11,10327,,,
Old Harbor Bank,Clearwater,FL,57537,1st United Bank,21-Oct-11,10408,,,
Old Southern Bank,Orlando,FL,58182,Centennial Bank,12-Mar-10,10197,,,
Olde Cypress Community Bank,Clewiston,FL,28864,"CenterState Bank of Florida, N.A.",16-Jul-10,10260,,,
Omni National Bank,Atlanta,GA,22238,No Acquirer,27-Mar-09,10048,,,
One Georgia Bank,Atlanta,GA,58238,Ameris Bank,15-Jul-11,10378,,,
Orion Bank,Naples,FL,22427,IBERIABANK,13-Nov-09,10149,,,
PFF Bank & Trust,Pomona,CA,28344,"U.S. Bank, N.A.",21-Nov-08,10024,,,
Pacific Coast National Bank,San Clemente,CA,57914,Sunwest Bank,13-Nov-09,10150,,,
Pacific National Bank,San Francisco,CA,30006,U.S. Bank N.A.,30-Oct-09,10139,,,
Pacific State Bank,Stockton,CA,27090,"Rabobank, N.A.",20-Aug-10,10283,,,
Palm Desert National Bank,Palm Desert,CA,23632,Pacific Premier Bank,27-Apr-12,10437,1305.0,101194.0,-99889.0
Palos Bank and Trust Company,Palos Heights,IL,17599,First Midwest Bank,13-Aug-10,10277,,,
Paramount Bank,Farmington Hills,MI,34673,Level One Bank,10-Dec-10,10318,,,
Park National Bank,Chicago,IL,11677,U.S. Bank N.A.,30-Oct-09,10140,,,
Parkway Bank,Lenoir,NC,57158,"CertusBank, National Association",26-Apr-13,10477,1107.0,75282.0,-74175.0
Partners Bank,Naples,FL,57959,Stonegate Bank,23-Oct-09,10130,,,
Patriot Bank Minnesota,Forest Lake,MN,34823,First Resource Bank,27-Jan-12,10422,1503.0,34609.0,-33106.0
Patriot Bank of Georgia,Cumming,GA,58273,Georgia Commerce Bank,2-Sep-11,10394,,,
Peninsula Bank,Englewood,FL,26563,"Premier American Bank, N.A.",25-Jun-10,10253,,,
Peoples Community Bank,West Chester,OH,32288,"First Financial Bank, N.A.",31-Jul-09,10096,,,
Peoples First Community Bank,Panama City,FL,32167,Hancock Bank,18-Dec-09,10165,,,
Peoples State Bank,Hamtramck,MI,14939,First Michigan Bank,11-Feb-11,10341,,,
Peotone Bank and Trust Company,Peotone,IL,10888,First Midwest Bank,23-Apr-10,10223,,,
Piedmont Community Bank,Gray,GA,57256,State Bank and Trust Company,14-Oct-11,10404,,,
Pierce Commercial Bank,Tacoma,WA,34411,Heritage Bank,5-Nov-10,10309,,,
Pinehurst Bank,Saint Paul,MN,57735,Coulee Bank,21-May-10,10240,,,
Pinnacle Bank of Oregon,Beaverton,OR,57342,Washington Trust Bank of Spokane,13-Feb-09,10040,,,
Pisgah Community Bank,Asheville,NC,58701,"Capital Bank, N.A.",10-May-13,10480,1233.0,41806.0,-40573.0
Plantation Federal Bank,Pawleys Island,SC,32503,First Federal Bank,27-Apr-12,10438,5261.0,64144.0,-58883.0
Platinum Community Bank,Rolling Meadows,IL,35030,No Acquirer,4-Sep-09,10115,,,
Polk County Bank,Johnston,IA,14194,Grinnell State Bank,18-Nov-11,10414,2932.0,83045.0,-80113.0
Premier American Bank,Miami,FL,57147,"Premier American Bank, N.A.",22-Jan-10,10173,,,
Premier Bank,Wilmette,IL,35419,International Bank of Chicago,23-Mar-12,10431,4996.0,738754.0,-733758.0
Premier Bank,Jefferson City,MO,34016,Providence Bank,15-Oct-10,10297,,,
Premier Bank,Denver,CO,34112,"United Fidelity Bank, fsb",10-Jul-15,10515,4373.0,17035.0,-12662.0
Premier Community Bank of the Emerald Coast,Crestview,FL,58343,Summit Bank,16-Dec-11,10415,1010.0,121427.0,-120417.0
Proficio Bank,Cottonwood Heights,UT,35495,Cache Valley Bank,3-Mar-17,10525,4364.0,106419.0,-102055.0
Progress Bank of Florida,Tampa,FL,32251,Bay Cities Bank,22-Oct-10,10303,,,
Prosperan Bank,Oakdale,MN,35074,"Alerus Financial, N.A.",6-Nov-09,10143,,,
Public Savings Bank,Huntingdon Valley,PA,34130,"Capital Bank, N.A.",18-Aug-11,10389,,,
Pulaski Savings Bank,Philadelphia,PA,27203,Earthstar Bank,14-Nov-03,4662,,,
Putnam State Bank,Palatka,FL,27405,Harbor Community Bank,15-Jun-12,10445,1264.0,311669.0,-310405.0
R-G Premier Bank of Puerto Rico,Hato Rey,PR,32185,Scotiabank de Puerto Rico,30-Apr-10,10230,,,
Rainier Pacific Bank,Tacoma,WA,38129,Umpqua Bank,26-Feb-10,10189,,,
Ravenswood Bank,Chicago,IL,34231,Northbrook Bank & Trust Company,6-Aug-10,10276,,,
Reliance Bank,White Plains,NY,26778,Union State Bank,19-Mar-04,4664,,,
"Republic Federal Bank, N.A.",Miami,FL,22846,1st United Bank,11-Dec-09,10158,,,
Resolute Bank,Maumee,OH,58317,Buckeye State Bank,25-Oct-19,10533,14017.0,1741286.0,-1727269.0
Riverside Bank of the Gulf Coast,Cape Coral,FL,34563,TIB Bank,13-Feb-09,10038,,,
Riverside National Bank of Florida,Fort Pierce,FL,24067,"TD Bank, N.A.",16-Apr-10,10216,,,
Riverview Community Bank,Otsego,MN,57525,Central Bank,23-Oct-09,10133,,,
Rock River Bank,Oregon,IL,15302,The Harvard State Bank,2-Jul-09,10075,,,
RockBridge Commercial Bank,Atlanta,GA,58315,No Acquirer,18-Dec-09,10164,,,
Rosemount National Bank,Rosemount,MN,24099,Central Bank,15-Apr-11,10357,,,
SCB Bank,Shelbyville,IN,29761,"First Merchants Bank, National Association",10-Feb-12,10425,1392.0,31214.0,-29822.0
San Diego National Bank,San Diego,CA,23594,U.S. Bank N.A.,30-Oct-09,10135,,,
San Joaquin Bank,Bakersfield,CA,23266,Citizens Business Bank,16-Oct-09,10126,,,
"San Luis Trust Bank, FSB",San Luis Obispo,CA,34783,First California Bank,18-Feb-11,10346,,,
Sanderson State Bank,Sanderson,TX,11568,The Pecos County State Bank,12-Dec-08,10026,,,
Satilla Community Bank,Saint Marys,GA,35114,Ameris Bank,14-May-10,10238,,,
Seaway Bank and Trust Company,Chicago,IL,19328,State Bank of Texas,27-Jan-17,10524,3034.0,25991.0,-22957.0
Second Federal Savings and Loan Association of Chicago,Chicago,IL,27986,Hinsdale Bank & Trust Company,20-Jul-12,10453,2007.0,920789.0,-918782.0
Security Bank of Bibb County,Macon,GA,27367,State Bank and Trust Company,24-Jul-09,10085,,,
Security Bank of Gwinnett County,Suwanee,GA,57346,State Bank and Trust Company,24-Jul-09,10086,,,
Security Bank of Houston County,Perry,GA,27048,State Bank and Trust Company,24-Jul-09,10087,,,
Security Bank of Jones County,Gray,GA,8486,State Bank and Trust Company,24-Jul-09,10088,,,
Security Bank of North Fulton,Alpharetta,GA,57430,State Bank and Trust Company,24-Jul-09,10089,,,
Security Bank of North Metro,Woodstock,GA,57105,State Bank and Trust Company,24-Jul-09,10090,,,
"Security Bank, National Association",North Lauderdale,FL,23156,Banesco USA,4-May-12,10439,4417.0,18.0,4399.0
Security Exchange Bank,Marietta,GA,35299,Fidelity Bank,15-Jun-12,10446,6223.0,427.0,5796.0
Security Pacific Bank,Los Angeles,CA,23595,Pacific Western Bank,7-Nov-08,10020,,,
Security Savings Bank,Henderson,NV,34820,Bank of Nevada,27-Feb-09,10043,,,
"Security Savings Bank, F.S.B.",Olathe,KS,30898,Simmons First National Bank,15-Oct-10,10298,,,
Sherman County Bank,Loup City,NE,5431,Heritage Bank,13-Feb-09,10039,,,
ShoreBank,Chicago,IL,15640,Urban Partnership Bank,20-Aug-10,10284,,,
Shoreline Bank,Shoreline,WA,35250,GBC International Bank,1-Oct-10,10295,,,
Signature Bank,New York,NY,57053,"Flagstar Bank, N.A.",12-Mar-23,10540,4268.0,142039.0,-137771.0
Signature Bank,Windsor,CO,57835,Points West Community Bank,8-Jul-11,10375,,,
Silicon Valley Bank,Santa Clara,CA,24735,FirstÃ¢â‚¬â€œCitizens Bank & Trust Company,10-Mar-23,10539,5736.0,534002.0,-528266.0
Silver Falls Bank,Silverton,OR,35399,Citizens Bank,20-Feb-09,10041,,,
Silver State Bank,Henderson,NV,34194,Nevada State Bank,5-Sep-08,10013,,,
"Silverton Bank, NA",Atlanta,GA,26535,No Acquirer,1-May-09,10059,,,
Sinclair National Bank,Gravette,AR,34248,Delta Trust & Bank,7-Sep-01,4649,,,
Slavie Federal Savings Bank,Bel Air,MD,32368,"Bay Bank, FSB",30-May-14,10500,1047.0,44771.0,-43724.0
SolutionsBank,Overland Park,KS,4731,Arvest Bank,11-Dec-09,10160,,,
Sonoma Valley Bank,Sonoma,CA,27259,Westamerica Bank,20-Aug-10,10285,,,
Southern Colorado National Bank,Pueblo,CO,57263,Legacy Bank,2-Oct-09,10123,,,
Southern Community Bank,Fayetteville,GA,35251,United Community Bank,19-Jun-09,10067,,,
Southern Pacific Bank,Torrance,CA,27094,Beal Bank,7-Feb-03,4660,,,
Southshore Community Bank,Apollo Beach,FL,58056,American Momentum Bank,22-Jul-11,10382,,,
Southwest Community Bank,Springfield,MO,34255,Simmons First National Bank,14-May-10,10239,,,
SouthwestUSA Bank,Las Vegas,NV,35434,Plaza Bank,23-Jul-10,10267,,,
St. Stephen State Bank,St. Stephen,MN,17522,First State Bank of St. Joseph,15-Jan-10,10169,,,
State Bank of Aurora,Aurora,MN,8221,Northern State Bank,19-Mar-10,10203,,,
Statewide Bank,Covington,LA,29561,Home Bank,12-Mar-10,10196,,,
Sterling Bank,Lantana,FL,32536,IBERIABANK,23-Jul-10,10268,,,
Strategic Capital Bank,Champaign,IL,35175,Midland States Bank,22-May-09,10062,,,
Suburban FSB,Crofton,MD,30763,Bank of Essex,30-Jan-09,10033,,,
Summit Bank,Prescott,AZ,57442,The Foothills Bank,15-Jul-11,10379,,,
Summit Bank,Burlington,WA,513,Columbia State Bank,20-May-11,10367,,,
Sun American Bank,Boca Raton,FL,27126,First-Citizens Bank & Trust Company,5-Mar-10,10192,,,
Sun Security Bank,Ellington,MO,20115,Great Southern Bank,7-Oct-11,10400,,,
Sun West Bank,Las Vegas,NV,34785,City National Bank,28-May-10,10245,,,
SunFirst Bank,Saint George,UT,57087,Cache Valley Bank,4-Nov-11,10411,14336.0,2222165.0,-2207829.0
Sunrise Bank,Valdosta,GA,58185,Synovus Bank,10-May-13,10481,99832.0,5677.0,94155.0
Sunrise Bank of Arizona,Phoenix,AZ,34707,"First Fidelity Bank, National Association",23-Aug-13,10487,28673.0,824006.0,-795333.0
Sunshine State Community Bank,Port Orange,FL,35478,"Premier American Bank, N.A.",11-Feb-11,10342,,,
Superior Bank,Birmingham,AL,17750,"Superior Bank, National Association",15-Apr-11,10358,,,
"Superior Bank, FSB",Hinsdale,IL,32646,"Superior Federal, FSB",27-Jul-01,6004,,,
Syringa Bank,Boise,ID,34296,Sunwest Bank,31-Jan-14,10494,1600.0,195986.0,-194386.0
Tamalpais Bank,San Rafael,CA,33493,"Union Bank, N.A.",16-Apr-10,10217,,,
"TeamBank, NA",Paola,KS,4754,Great Southern Bank,20-Mar-09,10046,,,
Temecula Valley Bank,Temecula,CA,34341,First-Citizens Bank & Trust Company,17-Jul-09,10082,,,
Tennessee Commerce Bank,Franklin,TN,35296,Republic Bank & Trust Company,27-Jan-12,10423,2871.0,47267.0,-44396.0
"Texas Community Bank, National Association",The Woodlands,TX,57431,"Spirit of Texas Bank, SSB",13-Dec-13,10491,2197.0,89993.0,-87796.0
The Bank of Asheville,Asheville,NC,34516,First Bank,21-Jan-11,10330,,,
The Bank of Bonifay,Bonifay,FL,14246,First Federal Bank of Florida,7-May-10,10234,,,
The Bank of Commerce,Wood Dale,IL,34292,Advantage National Bank Group,25-Mar-11,10350,,,
The Bank of Georgia,Peachtree City,GA,35259,Fidelity Bank,2-Oct-15,10516,3400.0,72794.0,-69394.0
"The Bank of Miami,N.A.",Coral Gables,FL,19040,1st United Bank,17-Dec-10,10324,,,
The Bank of Union,El Reno,OK,17967,BancFirst,24-Jan-14,10493,1998.0,239489.0,-237491.0
The Buckhead Community Bank,Atlanta,GA,34663,State Bank and Trust Company,4-Dec-09,10152,,,
The Community's Bank,Bridgeport,CT,57041,No Acquirer,13-Sep-13,10489,7200.0,732196.0,-724996.0
The Cowlitz Bank,Longview,WA,22643,Heritage Bank,30-Jul-10,10275,,,
The Elizabeth State Bank,Elizabeth,IL,9262,Galena State Bank and Trust Company,2-Jul-09,10073,,,
The Enloe State Bank,Cooper,TX,10716,"Legend Bank, N. A.",31-May-19,10531,1010.0,32296.0,-31286.0
The Farmers Bank of Lynchburg,Lynchburg,TN,1690,Clayton Bank and Trust,15-Jun-12,10447,13834.0,393574.0,-379740.0
The Farmers and Merchants State Bank of Argonia,Argonia,KS,17719,Conway Bank,13-Oct-17,10529,2501.0,164103.0,-161602.0
The First National Bank of Barnesville,Barnesville,GA,2119,United Bank,22-Oct-10,10304,,,
The First National Bank of Florida,Milton,FL,25155,CharterBank,9-Sep-11,10395,,,
The First National Bank of Olathe,Olathe,KS,4744,Enterprise Bank & Trust,12-Aug-11,10388,,,
The First State Bank,Camargo,OK,2303,Bank 7,28-Jan-11,10335,,,
The First State Bank,Stockbridge,GA,19252,Hamilton State Bank,20-Jan-12,10419,1186.0,53630.0,-52444.0
The First State Bank,Barboursville,WV,14361,"MVB Bank, Inc.",3-Apr-20,10536,13857.0,91655.0,-77798.0
The Freedom State Bank,Freedom,OK,12483,Alva State Bank & Trust Company,27-Jun-14,10503,24407.0,753650.0,-729243.0
The Gordon Bank,Gordon,GA,33904,Morris Bank,22-Oct-10,10305,,,
The La Coste National Bank,La Coste,TX,3287,Community National Bank,19-Feb-10,10186,,,
The National Republic Bank of Chicago,Chicago,IL,916,State Bank of Texas,24-Oct-14,10507,12288.0,36697.0,-24409.0
The Park Avenue Bank,New York,NY,27096,Valley National Bank,12-Mar-10,10195,,,
The Park Avenue Bank,Valdosta,GA,19797,Bank of the Ozarks,29-Apr-11,10363,,,
The Peoples Bank,Winder,GA,182,Community & Southern Bank,17-Sep-10,10292,,,
The RiverBank,Wyoming,MN,10216,Central Bank,7-Oct-11,10399,,,
The Royal Palm Bank of Florida,Naples,FL,57096,First National Bank of the Gulf Coast,20-Jul-12,10454,2951.0,301179.0,-298228.0
The Tattnall Bank,Reidsville,GA,12080,Heritage Bank of the South,4-Dec-09,10153,,,
The Woodbury Banking Company,Woodbury,GA,11297,United Bank,19-Aug-16,10521,1009.0,18747.0,-17738.0
Thunder Bank,Sylvan Grove,KS,10506,The Bennington State Bank,23-Jul-10,10269,,,
TierOne Bank,Lincoln,NE,29341,Great Western Bank,4-Jun-10,10248,,,
Tifton Banking Company,Tifton,GA,57831,Ameris Bank,12-Nov-10,10313,,,
Town Community Bank & Trust,Antioch,IL,34705,First American Bank,15-Jan-10,10170,,,
Towne Bank of Arizona,Mesa,AZ,57697,Commerce Bank of Arizona,7-May-10,10235,,,
Truman Bank,St. Louis,MO,27316,Simmons First National Bank,14-Sep-12,10458,1648.0,50680.0,-49032.0
Trust Company Bank,Memphis,TN,9956,The Bank of Fayette County,29-Apr-16,10519,1060.0,21157.0,-20097.0
Turnberry Bank,Aventura,FL,32280,NAFH National Bank,16-Jul-10,10261,,,
USA Bank,Port Chester,NY,58072,New Century Bank,9-Jul-10,10254,,,
"Union Bank, National Association",Gilbert,AZ,34485,MidFirst Bank,14-Aug-09,10102,,,
"United Americas Bank, N.A.",Atlanta,GA,35065,State Bank and Trust Company,17-Dec-10,10323,,,
United Commercial Bank,San Francisco,CA,32469,East West Bank,6-Nov-09,10147,,,
United Security Bank,Sparta,GA,22286,Ameris Bank,6-Nov-09,10145,,,
United Western Bank,Denver,CO,31293,First-Citizens Bank & Trust Company,21-Jan-11,10331,,,
Unity National Bank,Cartersville,GA,34678,Bank of the Ozarks,26-Mar-10,10208,,,
Universal Federal Savings Bank,Chicago,IL,29355,Chicago Community Bank,27-Jun-02,6005,,,
Valley Bank,Fort Lauderdale,FL,21793,"Landmark Bank, National Association",20-Jun-14,10501,1055.0,9527.0,-8472.0
Valley Bank,Moline,IL,10450,Great Southern Bank,20-Jun-14,10502,5945.0,29075.0,-23130.0
"Valley Capital Bank, N.A.",Mesa,AZ,58399,Enterprise Bank & Trust,11-Dec-09,10159,,,
Valley Community Bank,St. Charles,IL,34187,First State Bank,25-Feb-11,10347,,,
Vantage Point Bank,Horsham,PA,58531,First Choice Bank,28-Feb-14,10496,4160.0,114058.0,-109898.0
Vantus Bank,Sioux City,IA,27732,Great Southern Bank,4-Sep-09,10116,,,
Venture Bank,Lacey,WA,22868,First-Citizens Bank & Trust Company,11-Sep-09,10119,,,
Vineyard Bank,Rancho Cucamonga,CA,23556,California Bank & Trust,17-Jul-09,10083,,,
Virginia Business Bank,Richmond,VA,58283,Xenith Bank,29-Jul-11,10385,,,
Waccamaw Bank,Whiteville,NC,34515,First Community Bank,8-Jun-12,10444,2548.0,72504.0,-69956.0
Wakulla Bank,Crawfordville,FL,21777,Centennial Bank,1-Oct-10,10296,,,
Warren Bank,Warren,MI,34824,The Huntington National Bank,2-Oct-09,10125,,,
Washington Federal Bank for Savings,Chicago,IL,30570,Royal Savings Bank,15-Dec-17,10530,1085.0,137627.0,-136542.0
Washington First International Bank,Seattle,WA,32955,East West Bank,11-Jun-10,10249,,,
Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB),Henderson,NV,32633,JP Morgan Chase Bank,25-Sep-08,10015,,,
Waterfield Bank,Germantown,MD,34976,No Acquirer,5-Mar-10,10190,,,
Waterford Village Bank,Williamsville,NY,58065,"Evans Bank, N.A.",24-Jul-09,10091,,,
Waukegan Savings Bank,Waukegan,IL,28243,First Midwest Bank,3-Aug-12,10456,93.0,74582.0,-74489.0
WestBridge Bank and Trust Company,Chesterfield,MO,58205,Midland States Bank,15-Oct-10,10299,,,
Western Commercial Bank,Woodland Hills,CA,58087,First California Bank,5-Nov-10,10310,,,
Western National Bank,Phoenix,AZ,57917,Washington Federal,16-Dec-11,10416,8367.0,153819.0,-145452.0
Western Springs National Bank and Trust,Western Springs,IL,10086,Heartland Bank and Trust Company,8-Apr-11,10352,,,
Westernbank Puerto Rico,Mayaguez,PR,31027,Banco Popular de Puerto Rico,30-Apr-10,10231,,,
Westside Community Bank,University Place,WA,33997,Sunwest Bank,11-Jan-13,10468,1859.0,772751.0,-770892.0
Westsound Bank,Bremerton,WA,34843,Kitsap Bank,8-May-09,10060,,,
Wheatland Bank,Naperville,IL,58429,Wheaton Bank & Trust,23-Apr-10,10224,,,
Williamsburg First National Bank,Kingstree,SC,17837,"First Citizens Bank and Trust Company, Inc.",23-Jul-10,10270,,,
Woodlands Bank,Bluffton,SC,32571,Bank of the Ozarks,16-Jul-10,10262,,,
ebank,Atlanta,GA,34682,"Stearns Bank, N.A.",21-Aug-09,10107,,,
