Fund,Bank Name ,City ,State ,Location,Latitude,Longitude
10540,Signature Bank,New York,NY,"New York, NY",40.7127281,-74.0060152
10539,Silicon Valley Bank,Santa Clara,CA,"Santa Clara, CA",37.2333253,-121.6846349
10538,Almena State Bank,Almena,KS,"Almena, KS",39.892229,-99.707058
10537,First City Bank of Florida,Fort Walton Beach,FL,"Fort Walton Beach, FL",30.4057552,-86.618842
10536,The First State Bank,Barboursville,WV,"Barboursville, WV",38.4095298,-82.2945923
10535,Ericson State Bank,Ericson,NE,"Ericson, NE",41.7799242,-98.6785815
10534,City National Bank of New Jersey,Newark,NJ,"Newark, NJ",40.735657,-74.1723667
10533,Resolute Bank,Maumee,OH,"Maumee, OH",41.5628294,-83.6538244
10532,Louisa Community Bank,Louisa,KY,"Louisa, KY",38.1144867,-82.6030988
10531,The Enloe State Bank,Cooper,TX,"Cooper, TX",33.3721434,-95.6877086
10530,Washington Federal Bank for Savings,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10529,The Farmers and Merchants State Bank of Argonia,Argonia,KS,"Argonia, KS",37.265854,-97.7656092
10528,Fayette County Bank,Saint Elmo,IL,"Saint Elmo, IL",39.0272663,-88.8481139
10527,"Guaranty Bank, (d/b/a BestBank in Georgia & Michigan)",Milwaukee,WI,"Milwaukee, WI",43.0349931,-87.922497
10526,First NBC Bank,New Orleans,LA,"New Orleans, LA",29.9759983,-90.0782127
10525,Proficio Bank,Cottonwood Heights,UT,"Cottonwood Heights, UT",40.613474,-111.8256464
10524,Seaway Bank and Trust Company,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10523,Harvest Community Bank,Pennsville,NJ,"Pennsville, NJ",39.6502715,-75.50833325636759
10522,Allied Bank,Mulberry,AR,"Mulberry, AR",35.5006417,-94.0515919
10521,The Woodbury Banking Company,Woodbury,GA,"Woodbury, GA",32.9837394,-84.5827031
10520,First CornerStone Bank,King of Prussia,PA,"King of Prussia, PA",40.09476245,-75.3851333563417
10519,Trust Company Bank,Memphis,TN,"Memphis, TN",35.1460249,-90.0517638
10518,North Milwaukee State Bank,Milwaukee,WI,"Milwaukee, WI",43.0349931,-87.922497
10517,Hometown National Bank,Longview,WA,"Longview, WA",46.1377048,-122.934462
10516,The Bank of Georgia,Peachtree City,GA,"Peachtree City, GA",33.3967829,-84.5957629
10515,Premier Bank,Denver,CO,"Denver, CO",39.7392364,-104.984862
10514,Edgebrook Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10513,Doral Bank,San Juan,PR,"San Juan, PR",18.465299,-66.116666
10512,Capitol City Bank & Trust Company,Atlanta,GA,"Atlanta, GA",33.7489924,-84.3902644
10511,Highland Community Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10510,First National Bank of Crestview,Crestview,FL,"Crestview, FL",30.7621326,-86.5705084
10509,Northern Star Bank,Mankato,MN,"Mankato, MN",44.1634663,-93.9993505
10508,"Frontier Bank, FSB D/B/A El Paseo Bank",Palm Desert,CA,"Palm Desert, CA",33.7288179,-116.382571
10507,The National Republic Bank of Chicago,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10506,NBRS Financial,Rising Sun,MD,"Rising Sun, MD",39.6980597,-76.0628964
10505,"GreenChoice Bank, fsb",Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10504,Eastside Commercial Bank,Conyers,GA,"Conyers, GA",33.6676103,-84.0176904
10503,The Freedom State Bank,Freedom,OK,"Freedom, OK",36.7692966,-99.1133631
10501,Valley Bank,Fort Lauderdale,FL,"Fort Lauderdale, FL",26.1223084,-80.1433786
10502,Valley Bank,Moline,IL,"Moline, IL",41.5058344,-90.5136642
10500,Slavie Federal Savings Bank,Bel Air,MD,"Bel Air, MD",39.5355063,-76.3490396
10499,Columbia Savings Bank,Cincinnati,OH,"Cincinnati, OH",39.1014537,-84.5124602
10498,AztecAmerica Bank,Berwyn,IL,"Berwyn, IL",41.8505874,-87.7936685
10497,Allendale County Bank,Fairfax,SC,"Fairfax, SC",32.9585379,-81.2372124
10496,Vantage Point Bank,Horsham,PA,"Horsham, PA",40.1842455,-75.13905239078957
10495,"Millennium Bank, National Association",Sterling,VA,"Sterling, VA",39.003809849999996,-77.40832792370676
10494,Syringa Bank,Boise,ID,"Boise, ID",43.6166163,-116.200886
10493,The Bank of Union,El Reno,OK,"El Reno, OK",35.532198,-97.9550578
10492,DuPage National Bank,West Chicago,IL,"West Chicago, IL",41.8847507,-88.2039607
10491,"Texas Community Bank, National Association",The Woodlands,TX,"The Woodlands, TX",30.1734194,-95.504686
10490,Bank of Jackson County,Graceville,FL,"Graceville, FL",30.96015375,-85.51052263287673
10488,First National Bank also operating as The National Bank of El Paso,Edinburg,TX,"Edinburg, TX",26.3013982,-98.1624501
10489,The Community's Bank,Bridgeport,CT,"Bridgeport, CT",41.1779095,-73.1867391
10487,Sunrise Bank of Arizona,Phoenix,AZ,"Phoenix, AZ",33.4484367,-112.074141
10486,Community South Bank,Parsons,TN,"Parsons, TN",35.649791,-88.1267025
10485,Bank of Wausau,Wausau,WI,"Wausau, WI",44.9596017,-89.6298239
10484,First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),Fort Myers,FL,"Fort Myers, FL",26.640628,-81.8723084
10483,Mountain National Bank,Sevierville,TN,"Sevierville, TN",35.8681455,-83.561835
10482,1st Commerce Bank,North Las Vegas,NV,"North Las Vegas, NV",36.2005843,-115.121584
10478,Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha,WI,"Kenosha, WI",42.5846773,-87.8212263
10479,Central Arizona Bank,Scottsdale,AZ,"Scottsdale, AZ",33.4942189,-111.9260184
10481,Sunrise Bank,Valdosta,GA,"Valdosta, GA",30.8327022,-83.2784851
10480,Pisgah Community Bank,Asheville,NC,"Asheville, NC",35.6009498,-82.5540161
10476,Douglas County Bank,Douglasville,GA,"Douglasville, GA",33.7514966,-84.7477136
10477,Parkway Bank,Lenoir,NC,"Lenoir, NC",35.2590371,-77.6484879
10473,Chipola Community Bank,Marianna,FL,"Marianna, FL",30.7743596,-85.2268735
10475,Heritage Bank of North Florida,Orange Park,FL,"Orange Park, FL",30.1654707,-81.7016346
10474,First Federal Bank,Lexington,KY,"Lexington, KY",38.0464066,-84.4970393
10472,Gold Canyon Bank,Gold Canyon,AZ,"Gold Canyon, AZ",33.3710715,-111.42618498017515
10471,Frontier Bank,LaGrange,GA,"LaGrange, GA",33.039291,-85.0313269
10470,Covenant Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10469,1st Regents Bank,Andover,MN,"Andover, MN",45.2332985,-93.2913405
10468,Westside Community Bank,University Place,WA,"University Place, WA",47.2368034,-122.552067
10467,Community Bank of the Ozarks,Sunrise Beach,MO,"Sunrise Beach, MO",38.1758645,-92.7843553
10466,Hometown Community Bank,Braselton,GA,"Braselton, GA",34.1092735,-83.7626729
10464,Citizens First National Bank,Princeton,IL,"Princeton, IL",41.368092,-89.4648145
10465,Heritage Bank of Florida,Lutz,FL,"Lutz, FL",28.1300994,-82.45918424070945
10463,NOVA Bank,Berwyn,PA,"Berwyn, PA",40.0448306,-75.4388053
10460,Excel Bank,Sedalia,MO,"Sedalia, MO",38.7098314,-93.2295515
10461,First East Side Savings Bank,Tamarac,FL,"Tamarac, FL",26.2128609,-80.2497707
10462,GulfSouth Private Bank,Destin,FL,"Destin, FL",30.3935337,-86.4957834
10459,First United Bank,Crete,IL,"Crete, IL",41.4445334,-87.6313829
10458,Truman Bank,St. Louis,MO,"St. Louis, MO",38.6280278,-90.1910154
10457,First Commercial Bank,Bloomington,MN,"Bloomington, MN",44.8322405,-93.3204872
10456,Waukegan Savings Bank,Waukegan,IL,"Waukegan, IL",42.3636331,-87.8447938
10455,Jasper Banking Company,Jasper,GA,"Jasper, GA",33.3254635,-83.6868559
10453,Second Federal Savings and Loan Association of Chicago,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10452,Heartland Bank,Leawood,KS,"Leawood, KS",38.966673,-94.6169012
10450,First Cherokee State Bank,Woodstock,GA,"Woodstock, GA",34.1014112,-84.5192192
10451,Georgia Trust Bank,Buford,GA,"Buford, GA",34.1206564,-84.0043513
10454,The Royal Palm Bank of Florida,Naples,FL,"Naples, FL",26.1421976,-81.7942944
10449,Glasgow Savings Bank,Glasgow,MO,"Glasgow, MO",39.2255213,-92.8435384
10448,Montgomery Bank & Trust,Ailey,GA,"Ailey, GA",32.1874042,-82.5656886
10447,The Farmers Bank of Lynchburg,Lynchburg,TN,"Lynchburg, TN",35.2831727,-86.3739827
10446,Security Exchange Bank,Marietta,GA,"Marietta, GA",33.9528472,-84.5496148
10445,Putnam State Bank,Palatka,FL,"Palatka, FL",29.6487882,-81.6372111
10444,Waccamaw Bank,Whiteville,NC,"Whiteville, NC",34.3387802,-78.7030721
10442,Farmers' and Traders' State Bank,Shabbona,IL,"Shabbona, IL",41.7680851,-88.8770311
10441,Carolina Federal Savings Bank,Charleston,SC,"Charleston, SC",32.7884363,-79.9399309
10443,First Capital Bank,Kingfisher,OK,"Kingfisher, OK",35.9471931,-97.9641244
10440,"Alabama Trust Bank, National Association",Sylacauga,AL,"Sylacauga, AL",33.1731716,-86.2516406
10439,"Security Bank, National Association",North Lauderdale,FL,"North Lauderdale, FL",26.217305,-80.2258811
10437,Palm Desert National Bank,Palm Desert,CA,"Palm Desert, CA",33.7288179,-116.382571
10438,Plantation Federal Bank,Pawleys Island,SC,"Pawleys Island, SC",33.4293486,-79.1215912
10436,"Inter Savings Bank, fsb D/B/A InterBank, fsb",Maple Grove,MN,"Maple Grove, MN",45.0984983,-93.4419222
10435,HarVest Bank of Maryland,Gaithersburg,MD,"Gaithersburg, MD",39.1399187,-77.1929215
10434,Bank of the Eastern Shore,Cambridge,MD,"Cambridge, MD",38.5714624,-76.0763177
10433,"Fort Lee Federal Savings Bank, FSB",Fort Lee,NJ,"Fort Lee, NJ",40.8509333,-73.9701382
10432,Fidelity Bank,Dearborn,MI,"Dearborn, MI",42.3222599,-83.1763145
10431,Premier Bank,Wilmette,IL,"Wilmette, IL",42.0757315,-87.7193768
10430,Covenant Bank & Trust,Rock Spring,GA,"Rock Spring, GA",34.8242442,-85.2427323
10429,New City Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10428,Global Commerce Bank,Doraville,GA,"Doraville, GA",33.8981579,-84.2832564
10427,Home Savings of America,Little Falls,MN,"Little Falls, MN",45.9763545,-94.3625024
10426,Central Bank of Georgia,Ellaville,GA,"Ellaville, GA",32.2382139,-84.3090798
10425,SCB Bank,Shelbyville,IN,"Shelbyville, IN",39.5214373,-85.7769238
10424,Charter National Bank and Trust,Hoffman Estates,IL,"Hoffman Estates, IL",42.0427256,-88.0792782
10420,BankEast,Knoxville,TN,"Knoxville, TN",35.9603948,-83.9210261
10422,Patriot Bank Minnesota,Forest Lake,MN,"Forest Lake, MN",45.279106,-92.9851629
10423,Tennessee Commerce Bank,Franklin,TN,"Franklin, TN",35.925206,-86.8689419
10421,First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,FL,"Jacksonville, FL",30.3321838,-81.655651
10417,American Eagle Savings Bank,Boothwyn,PA,"Boothwyn, PA",39.835907000000006,-75.4488451464276
10419,The First State Bank,Stockbridge,GA,"Stockbridge, GA",33.5442781,-84.2338093
10418,Central Florida State Bank,Belleview,FL,"Belleview, FL",29.0552507,-82.0623105
10416,Western National Bank,Phoenix,AZ,"Phoenix, AZ",33.4484367,-112.074141
10415,Premier Community Bank of the Emerald Coast,Crestview,FL,"Crestview, FL",30.7621326,-86.5705084
10413,Central Progressive Bank,Lacombe,LA,"Lacombe, LA",30.3135288,-89.9431264
10414,Polk County Bank,Johnston,IA,"Johnston, IA",41.6731523,-93.6973395
10412,Community Bank of Rockmart,Rockmart,GA,"Rockmart, GA",34.0026005,-85.0416133
10411,SunFirst Bank,Saint George,UT,"Saint George, UT",37.0802661,-113.5784608
10410,"Mid City Bank, Inc.",Omaha,NE,"Omaha, NE",41.2587459,-95.9383758
10409,All American Bank,Des Plaines,IL,"Des Plaines, IL",42.0415823,-87.8873916
10405,Community Banks of Colorado,Greenwood Village,CO,"Greenwood Village, CO",39.6172101,-104.950814
10406,Community Capital Bank,Jonesboro,GA,"Jonesboro, GA",33.5215013,-84.3538128
10407,Decatur First Bank,Decatur,GA,"Decatur, GA",30.8736613,-84.5740953
10408,Old Harbor Bank,Clearwater,FL,"Clearwater, FL",27.9658533,-82.8001026
10402,Country Bank,Aledo,IL,"Aledo, IL",41.199665,-90.7484836
10403,First State Bank,Cranford,NJ,"Cranford, NJ",40.6584358,-74.2995923
10401,"Blue Ridge Savings Bank, Inc.",Asheville,NC,"Asheville, NC",35.6009498,-82.5540161
10404,Piedmont Community Bank,Gray,GA,"Gray, GA",33.0095802,-83.5337816
10400,Sun Security Bank,Ellington,MO,"Ellington, MO",37.2417147,-90.9687356
10399,The RiverBank,Wyoming,MN,"Wyoming, MN",45.3363551,-92.9971631
10398,First International Bank,Plano,TX,"Plano, TX",33.0136764,-96.6925096
10397,Citizens Bank of Northern California,Nevada City,CA,"Nevada City, CA",39.2615606,-121.0160594
10396,Bank of the Commonwealth,Norfolk,VA,"Norfolk, VA",36.8448348,-76.2863999
10395,The First National Bank of Florida,Milton,FL,"Milton, FL",30.6324149,-87.0396881
10393,CreekSide Bank,Woodstock,GA,"Woodstock, GA",34.1014112,-84.5192192
10394,Patriot Bank of Georgia,Cumming,GA,"Cumming, GA",34.2073196,-84.1401926
10390,First Choice Bank,Geneva,IL,"Geneva, IL",41.8875281,-88.3053525
10391,First Southern National Bank,Statesboro,GA,"Statesboro, GA",32.4490141,-81.7832912
10392,Lydian Private Bank,Palm Beach,FL,"Palm Beach, FL",26.6279798,-80.4494174
10389,Public Savings Bank,Huntingdon Valley,PA,"Huntingdon Valley, PA",40.1226101,-75.0635049
10388,The First National Bank of Olathe,Olathe,KS,"Olathe, KS",38.8838856,-94.81887
10387,Bank of Whitman,Colfax,WA,"Colfax, WA",41.6777241,-93.2452335
10386,Bank of Shorewood,Shorewood,IL,"Shorewood, IL",41.5200305,-88.2017293
10384,Integra Bank National Association,Evansville,IN,"Evansville, IN",37.9747645,-87.5558483
10383,"BankMeridian, N.A.",Columbia,SC,"Columbia, SC",34.0007493,-81.0343313
10385,Virginia Business Bank,Richmond,VA,"Richmond, VA",37.5385087,-77.43428
10380,Bank of Choice,Greeley,CO,"Greeley, CO",40.4233142,-104.7091322
10381,LandMark Bank of Florida,Sarasota,FL,"Sarasota, FL",27.3365805,-82.5308545
10382,Southshore Community Bank,Apollo Beach,FL,"Apollo Beach, FL",27.7729445,-82.39813752699379
10379,Summit Bank,Prescott,AZ,"Prescott, AZ",34.5399962,-112.468761
10376,First Peoples Bank,Port St. Lucie,FL,"Port St. Lucie, FL",27.2939333,-80.3503283
10377,High Trust Bank,Stockbridge,GA,"Stockbridge, GA",33.5442781,-84.2338093
10378,One Georgia Bank,Atlanta,GA,"Atlanta, GA",33.7489924,-84.3902644
10375,Signature Bank,Windsor,CO,"Windsor, CO",38.5471327,-122.8163802
10373,Colorado Capital Bank,Castle Rock,CO,"Castle Rock, CO",39.3722552,-104.8586826
10374,First Chicago Bank & Trust,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10372,Mountain Heritage Bank,Clayton,GA,"Clayton, GA",33.5204959,-84.3591713
10370,First Commercial Bank of Tampa Bay,Tampa,FL,"Tampa, FL",27.9477595,-82.458444
10371,McIntosh State Bank,Jackson,GA,"Jackson, GA",34.1282559,-83.5753386
10369,Atlantic Bank and Trust,Charleston,SC,"Charleston, SC",32.7884363,-79.9399309
10368,First Heritage Bank,Snohomish,WA,"Snohomish, WA",48.0074736,-121.7304882
10367,Summit Bank,Burlington,WA,"Burlington, WA",40.8126922,-91.1020205
10366,First Georgia Banking Company,Franklin,GA,"Franklin, GA",34.3678642,-83.2156575
10365,Atlantic Southern Bank,Macon,GA,"Macon, GA",32.8406946,-83.6324022
10364,Coastal Bank,Cocoa Beach,FL,"Cocoa Beach, FL",28.3194741,-80.6102592
10359,Community Central Bank,Mount Clemens,MI,"Mount Clemens, MI",42.5972563,-82.8779754
10363,The Park Avenue Bank,Valdosta,GA,"Valdosta, GA",30.8327022,-83.2784851
10361,First Choice Community Bank,Dallas,GA,"Dallas, GA",33.9237141,-84.8407732
10360,Cortez Community Bank,Brooksville,FL,"Brooksville, FL",28.5552719,-82.3878709
10362,First National Bank of Central Florida,Winter Park,FL,"Winter Park, FL",28.5977707,-81.3510264
10354,Heritage Banking Group,Carthage,MS,"Carthage, MS",32.7326356,-89.5361825
10357,Rosemount National Bank,Rosemount,MN,"Rosemount, MN",44.7391873,-93.12611
10358,Superior Bank,Birmingham,AL,"Birmingham, AL",33.5206824,-86.8024326
10356,Nexity Bank,Birmingham,AL,"Birmingham, AL",33.5206824,-86.8024326
10355,New Horizons Bank,East Ellijay,GA,"East Ellijay, GA",34.6839746,-84.4727049
10353,Bartow County Bank,Cartersville,GA,"Cartersville, GA",34.1652304,-84.7997613
10351,Nevada Commerce Bank,Las Vegas,NV,"Las Vegas, NV",36.1672559,-115.148516
10352,Western Springs National Bank and Trust,Western Springs,IL,"Western Springs, IL",41.8096132,-87.900671
10350,The Bank of Commerce,Wood Dale,IL,"Wood Dale, IL",41.9633625,-87.9789562
10348,Legacy Bank,Milwaukee,WI,"Milwaukee, WI",43.0349931,-87.922497
10349,First National Bank of Davis,Davis,OK,"Davis, OK",34.5034796,-97.1188924
10347,Valley Community Bank,St. Charles,IL,"St. Charles, IL",41.9139808,-88.3128183
10346,"San Luis Trust Bank, FSB",San Luis Obispo,CA,"San Luis Obispo, CA",35.3540209,-120.3757163
10343,Charter Oak Bank,Napa,CA,"Napa, CA",38.2971367,-122.2855293
10344,Citizens Bank of Effingham,Springfield,GA,"Springfield, GA",32.3724131,-81.3114988
10345,Habersham Bank,Clarkesville,GA,"Clarkesville, GA",34.6125971,-83.5248933
10340,Canyon National Bank,Palm Springs,CA,"Palm Springs, CA",33.772179449999996,-116.49529769683983
10339,Badger State Bank,Cassville,WI,"Cassville, WI",42.7144408,-90.9907697
10341,Peoples State Bank,Hamtramck,MI,"Hamtramck, MI",42.3928151,-83.0496438
10342,Sunshine State Community Bank,Port Orange,FL,"Port Orange, FL",29.101628050000002,-81.01059617608054
10337,Community First Bank Chicago,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10338,North Georgia Bank,Watkinsville,GA,"Watkinsville, GA",33.8628959,-83.4087709
10336,American Trust Bank,Roswell,GA,"Roswell, GA",34.02332,-84.360022
10333,First Community Bank,Taos,NM,"Taos, NM",36.4072377,-105.573284
10334,FirsTier Bank,Louisville,CO,"Louisville, CO",38.2542376,-85.759407
10332,Evergreen State Bank,Stoughton,WI,"Stoughton, WI",42.9167389,-89.2178997
10335,The First State Bank,Camargo,OK,"Camargo, OK",36.0174879,-99.2900229
10331,United Western Bank,Denver,CO,"Denver, CO",39.7392364,-104.984862
10330,The Bank of Asheville,Asheville,NC,"Asheville, NC",35.6009498,-82.5540161
10328,CommunitySouth Bank & Trust,Easley,SC,"Easley, SC",34.8269276,-82.5817053
10329,Enterprise Banking Company,McDonough,GA,"McDonough, GA",33.4473361,-84.1468616
10327,Oglethorpe Bank,Brunswick,GA,"Brunswick, GA",31.1499528,-81.4914894
10326,Legacy Bank,Scottsdale,AZ,"Scottsdale, AZ",33.4942189,-111.9260184
10325,First Commercial Bank of Florida,Orlando,FL,"Orlando, FL",28.5421109,-81.3790304
10321,Community National Bank,Lino Lakes,MN,"Lino Lakes, MN",45.1602442,-93.0888324
10322,First Southern Bank,Batesville,AR,"Batesville, AR",35.769799,-91.6409722
10323,"United Americas Bank, N.A.",Atlanta,GA,"Atlanta, GA",33.7489924,-84.3902644
10319,"Appalachian Community Bank, FSB",McCaysville,GA,"McCaysville, GA",34.9861914,-84.3713117
10320,Chestatee State Bank,Dawsonville,GA,"Dawsonville, GA",34.4212053,-84.1190804
10324,"The Bank of Miami,N.A.",Coral Gables,FL,"Coral Gables, FL",25.72149,-80.2683838
10317,Earthstar Bank,Southampton,PA,"Southampton, PA",40.1742759,-75.0437814
10318,Paramount Bank,Farmington Hills,MI,"Farmington Hills, MI",42.4853125,-83.3771553
10315,First Banking Center,Burlington,WI,"Burlington, WI",42.6780758,-88.27619
10314,Allegiance Bank of North America,Bala Cynwyd,PA,"Bala Cynwyd, PA",40.0076125,-75.2340695
10316,Gulf State Community Bank,Carrabelle,FL,"Carrabelle, FL",29.8532645,-84.664348
10311,Copper Star Bank,Scottsdale,AZ,"Scottsdale, AZ",33.4942189,-111.9260184
10312,Darby Bank & Trust Co.,Vidalia,GA,"Vidalia, GA",32.2176855,-82.4134614
10313,Tifton Banking Company,Tifton,GA,"Tifton, GA",31.4549719,-83.5108284
10307,First Vietnamese American Bank,Westminster,CA,"Westminster, CA",33.7578725,-117.9859054
10309,Pierce Commercial Bank,Tacoma,WA,"Tacoma, WA",47.2495798,-122.439874
10310,Western Commercial Bank,Woodland Hills,CA,"Woodland Hills, CA",34.1684364,-118.6058382
10308,K Bank,Randallstown,MD,"Randallstown, MD",39.36909865,-76.79584212721417
10306,"First Arizona Savings, A FSB",Scottsdale,AZ,"Scottsdale, AZ",33.4942189,-111.9260184
10302,Hillcrest Bank,Overland Park,KS,"Overland Park, KS",38.9742502,-94.6851702
10301,First Suburban National Bank,Maywood,IL,"Maywood, IL",41.8789942,-87.8436412
10304,The First National Bank of Barnesville,Barnesville,GA,"Barnesville, GA",33.0545709,-84.1557496
10305,The Gordon Bank,Gordon,GA,"Gordon, GA",34.5019651,-84.8986308
10303,Progress Bank of Florida,Tampa,FL,"Tampa, FL",27.9477595,-82.458444
10300,First Bank of Jacksonville,Jacksonville,FL,"Jacksonville, FL",30.3321838,-81.655651
10297,Premier Bank,Jefferson City,MO,"Jefferson City, MO",38.577359,-92.1724265
10299,WestBridge Bank and Trust Company,Chesterfield,MO,"Chesterfield, MO",38.661953,-90.5643258
10298,"Security Savings Bank, F.S.B.",Olathe,KS,"Olathe, KS",38.8838856,-94.81887
10295,Shoreline Bank,Shoreline,WA,"Shoreline, WA",47.7564667,-122.3437497
10296,Wakulla Bank,Crawfordville,FL,"Crawfordville, FL",30.1760358,-84.3751778
10294,North County Bank,Arlington,WA,"Arlington, WA",48.1810957,-122.1389548
10293,Haven Trust Bank Florida,Ponte Vedra Beach,FL,"Ponte Vedra Beach, FL",30.2396865,-81.3856384
10291,Maritime Savings Bank,West Allis,WI,"West Allis, WI",43.0166806,-88.0070315
10288,Bramble Savings Bank,Milford,OH,"Milford, OH",39.174625,-84.2958988
10292,The Peoples Bank,Winder,GA,"Winder, GA",33.9919085,-83.7184368
10289,First Commerce Community Bank,Douglasville,GA,"Douglasville, GA",33.7514966,-84.7477136
10287,Bank of Ellijay,Ellijay,GA,"Ellijay, GA",34.6950278,-84.4827394
10290,ISN Bank,Cherry Hill,NJ,"Cherry Hill, NJ",39.9348351,-75.0307264
10286,Horizon Bank,Bradenton,FL,"Bradenton, FL",27.4989278,-82.5748194
10285,Sonoma Valley Bank,Sonoma,CA,"Sonoma, CA",38.5110803,-122.8473388
10282,Los Padres Bank,Solvang,CA,"Solvang, CA",34.595887,-120.139071
10278,Butte Community Bank,Chico,CA,"Chico, CA",39.7284945,-121.8374777
10283,Pacific State Bank,Stockton,CA,"Stockton, CA",37.9577016,-121.2907796
10284,ShoreBank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10280,Imperial Savings and Loan Association,Martinsville,VA,"Martinsville, VA",36.6915262,-79.8725386
10281,Independent National Bank,Ocala,FL,"Ocala, FL",29.1871986,-82.1400923
10279,Community National Bank at Bartow,Bartow,FL,"Bartow, FL",27.885186599999997,-81.81408775862916
10277,Palos Bank and Trust Company,Palos Heights,IL,"Palos Heights, IL",41.6681632,-87.7962812
10276,Ravenswood Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10273,LibertyBank,Eugene,OR,"Eugene, OR",44.0505054,-123.0950506
10275,The Cowlitz Bank,Longview,WA,"Longview, WA",46.1377048,-122.934462
10272,Coastal Community Bank,Panama City Beach,FL,"Panama City Beach, FL",30.1765914,-85.805386
10271,Bayside Savings Bank,Port Saint Joe,FL,"Port Saint Joe, FL",29.8118757,-85.302974
10274,Northwest Bank & Trust,Acworth,GA,"Acworth, GA",34.0659329,-84.6768796
10266,Home Valley Bank,Cave Junction,OR,"Cave Junction, OR",42.1633443,-123.6479309
10267,SouthwestUSA Bank,Las Vegas,NV,"Las Vegas, NV",36.1672559,-115.148516
10264,Community Security Bank,New Prague,MN,"New Prague, MN",44.5433331,-93.5760445
10269,Thunder Bank,Sylvan Grove,KS,"Sylvan Grove, KS",39.009454,-98.394228
10270,Williamsburg First National Bank,Kingstree,SC,"Kingstree, SC",33.6676643,-79.8306265
10265,Crescent Bank and Trust Company,Jasper,GA,"Jasper, GA",33.3254635,-83.6868559
10268,Sterling Bank,Lantana,FL,"Lantana, FL",26.5865308,-80.052166
