Fund,Bank Name ,City ,State ,Location,Latitude,Longitude
10258,"Mainstreet Savings Bank, FSB",Hastings,MI,"Hastings, MI",44.7426933,-92.8518697
10260,Olde Cypress Community Bank,Clewiston,FL,"Clewiston, FL",26.7542312,-80.9336753
10261,Turnberry Bank,Aventura,FL,"Aventura, FL",25.9564812,-80.1392121
10259,Metro Bank of Dade County,Miami,FL,"Miami, FL",25.7741728,-80.19362
10263,First National Bank of the South,Spartanburg,SC,"Spartanburg, SC",34.9498007,-81.9320157
10262,Woodlands Bank,Bluffton,SC,"Bluffton, SC",32.2371465,-80.8603868
10256,Home National Bank,Blackwell,OK,"Blackwell, OK",36.8018163,-97.2861191
10254,USA Bank,Port Chester,NY,"Port Chester, NY",41.0017643,-73.6656834
10257,Ideal Federal Savings Bank,Baltimore,MD,"Baltimore, MD",39.2908816,-76.610759
10255,Bay National Bank,Baltimore,MD,"Baltimore, MD",39.2908816,-76.610759
10252,High Desert State Bank,Albuquerque,NM,"Albuquerque, NM",35.0841034,-106.650985
10251,First National Bank,Savannah,GA,"Savannah, GA",32.0564572,-81.0951271
10253,Peninsula Bank,Englewood,FL,"Englewood, FL",26.9606125,-82.3576323996642
10250,Nevada Security Bank,Reno,NV,"Reno, NV",39.5261206,-119.8126581
10249,Washington First International Bank,Seattle,WA,"Seattle, WA",47.6038321,-122.330062
10248,TierOne Bank,Lincoln,NE,"Lincoln, NE",40.8088861,-96.7077751
10246,Arcola Homestead Savings Bank,Arcola,IL,"Arcola, IL",39.684755,-88.3064367
10247,First National Bank,Rosedale,MS,"Rosedale, MS",33.8551004,-91.0266112
10245,Sun West Bank,Las Vegas,NV,"Las Vegas, NV",36.1672559,-115.148516
10244,"Granite Community Bank, NA",Granite Bay,CA,"Granite Bay, CA",38.7632346,-121.1638361
10243,Bank of Florida - Tampa,Tampa,FL,"Tampa, FL",27.9477595,-82.458444
10242,Bank of Florida - Southwest,Naples,FL,"Naples, FL",26.1421976,-81.7942944
10241,Bank of Florida - Southeast,Fort Lauderdale,FL,"Fort Lauderdale, FL",26.1223084,-80.1433786
10240,Pinehurst Bank,Saint Paul,MN,"Saint Paul, MN",44.9497487,-93.0931028
10236,Midwest Bank and Trust Company,Elmwood Park,IL,"Elmwood Park, IL",41.9205931,-87.8160169
10239,Southwest Community Bank,Springfield,MO,"Springfield, MO",37.1968298,-93.2946576
10237,New Liberty Bank,Plymouth,MI,"Plymouth, MI",45.0065149,-93.46651
10238,Satilla Community Bank,Saint Marys,GA,"Saint Marys, GA",30.593752,-82.012049
10232,1st Pacific Bank of California,San Diego,CA,"San Diego, CA",32.7174202,-117.1627728
10235,Towne Bank of Arizona,Mesa,AZ,"Mesa, AZ",33.4151005,-111.8314552
10233,Access Bank,Champlin,MN,"Champlin, MN",45.1888539,-93.3974538
10234,The Bank of Bonifay,Bonifay,FL,"Bonifay, FL",30.7918559,-85.6796533
10228,Frontier Bank,Everett,WA,"Everett, WA",47.9673056,-122.201399
10225,BC National Banks,Butler,MO,"Butler, MO",36.7151346,-90.4146358
10227,Champion Bank,Creve Coeur,MO,"Creve Coeur, MO",38.6613007,-90.4423653
10226,CF Bancorp,Port Huron,MI,"Port Huron, MI",42.9815877,-82.440466
10231,Westernbank Puerto Rico,Mayaguez,PR,"Mayaguez, PR",18.2011161,-67.1391124
10230,R-G Premier Bank of Puerto Rico,Hato Rey,PR,"Hato Rey, PR",18.3988812,-67.0845472
10229,Eurobank,San Juan,PR,"San Juan, PR",18.465299,-66.116666
10224,Wheatland Bank,Naperville,IL,"Naperville, IL",41.7728699,-88.1479278
10223,Peotone Bank and Trust Company,Peotone,IL,"Peotone, IL",41.3323725,-87.7850863
10221,Lincoln Park Savings Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10222,New Century Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10220,Citizens Bank and Trust Company of Chicago,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10219,Broadway Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10218,"Amcore Bank, National Association",Rockford,IL,"Rockford, IL",42.2713945,-89.093966
10212,City Bank,Lynnwood,WA,"Lynnwood, WA",47.8278656,-122.3053932
10217,Tamalpais Bank,San Rafael,CA,"San Rafael, CA",37.9735346,-122.5310874
10214,Innovative Bank,Oakland,CA,"Oakland, CA",37.8044557,-122.271356
10211,Butler Bank,Lowell,MA,"Lowell, MA",42.6414437,-71.3085329
10216,Riverside National Bank of Florida,Fort Pierce,FL,"Fort Pierce, FL",27.4467056,-80.3256056
10210,AmericanFirst Bank,Clermont,FL,"Clermont, FL",28.5494447,-81.7728543
10213,First Federal Bank of North Florida,Palatka,FL,"Palatka, FL",29.6487882,-81.6372111
10215,Lakeside Community Bank,Sterling Heights,MI,"Sterling Heights, MI",42.5803122,-83.0302033
10209,Beach First National Bank,Myrtle Beach,SC,"Myrtle Beach, SC",33.6956461,-78.8900409
10205,Desert Hills Bank,Phoenix,AZ,"Phoenix, AZ",33.4484367,-112.074141
10208,Unity National Bank,Cartersville,GA,"Cartersville, GA",34.1652304,-84.7997613
10206,Key West Bank,Key West,FL,"Key West, FL",24.5625566,-81.7724368
10207,McIntosh Commercial Bank,Carrollton,GA,"Carrollton, GA",33.5801103,-85.0766113
10203,State Bank of Aurora,Aurora,MN,"Aurora, MN",47.5298533,-92.2367644
10204,First Lowndes Bank,Fort Deposit,AL,"Fort Deposit, AL",31.9845929,-86.5785856
10202,Bank of Hiawassee,Hiawassee,GA,"Hiawassee, GA",34.947959,-83.7569922
10199,Appalachian Community Bank,Ellijay,GA,"Ellijay, GA",34.6950278,-84.4827394
10200,Advanta Bank Corp.,Draper,UT,"Draper, UT",40.5247777,-111.8627989
10198,Century Security Bank,Duluth,GA,"Duluth, GA",34.0028569,-84.1441046
10201,American National Bank,Parma,OH,"Parma, OH",41.3822398,-81.7355692
10196,Statewide Bank,Covington,LA,"Covington, LA",31.196549,-86.4597236
10197,Old Southern Bank,Orlando,FL,"Orlando, FL",28.5421109,-81.3790304
10195,The Park Avenue Bank,New York,NY,"New York, NY",40.7127281,-74.0060152
10194,LibertyPointe Bank,New York,NY,"New York, NY",40.7127281,-74.0060152
10193,Centennial Bank,Ogden,UT,"Ogden, UT",41.2230048,-111.9738429
10190,Waterfield Bank,Germantown,MD,"Germantown, MD",39.17130815,-77.26557848822242
10191,Bank of Illinois,Normal,IL,"Normal, IL",40.5092961,-88.9843937
10192,Sun American Bank,Boca Raton,FL,"Boca Raton, FL",26.3586885,-80.0830984
10189,Rainier Pacific Bank,Tacoma,WA,"Tacoma, WA",47.2495798,-122.439874
10188,Carson River Community Bank,Carson City,NV,"Carson City, NV",39.1698022,-119.7575628
10185,"La Jolla Bank, FSB",La Jolla,CA,"La Jolla, CA",32.8401623,-117.2740777
10184,George Washington Savings Bank,Orland Park,IL,"Orland Park, IL",41.630663,-87.8536288
10186,The La Coste National Bank,La Coste,TX,"La Coste, TX",29.3102726,-98.8129169
10187,Marco Community Bank,Marco Island,FL,"Marco Island, FL",25.9363356,-81.7156832
10183,1st American State Bank of Minnesota,Hancock,MN,"Hancock, MN",45.497461,-95.796714
10178,American Marine Bank,Bainbridge Island,WA,"Bainbridge Island, WA",47.6475683,-122.54602915532405
10177,First Regional Bank,Los Angeles,CA,"Los Angeles, CA",34.0536909,-118.242766
10180,Community Bank and Trust,Cornelia,GA,"Cornelia, GA",34.5114883,-83.5271166
10182,"Marshall Bank, N.A.",Hallock,MN,"Hallock, MN",48.7744263,-96.946447
10181,Florida Community Bank,Immokalee,FL,"Immokalee, FL",26.42016,-81.42224084651733
10179,First National Bank of Georgia,Carrollton,GA,"Carrollton, GA",33.5801103,-85.0766113
10176,Columbia River Bank,The Dalles,OR,"The Dalles, OR",45.6015056,-121.1841587
10172,Evergreen Bank,Seattle,WA,"Seattle, WA",47.6038321,-122.330062
10175,Charter Bank,Santa Fe,NM,"Santa Fe, NM",35.6876096,-105.938456
10174,Bank of Leeton,Leeton,MO,"Leeton, MO",38.5830717,-93.694658
10173,Premier American Bank,Miami,FL,"Miami, FL",25.7741728,-80.19362
10171,Barnes Banking Company,Kaysville,UT,"Kaysville, UT",41.0349847,-111.9383931
10169,St. Stephen State Bank,St. Stephen,MN,"St. Stephen, MN",45.702743,-94.2744404
10170,Town Community Bank & Trust,Antioch,IL,"Antioch, IL",42.4767131,-88.0950691
10168,Horizon Bank,Bellingham,WA,"Bellingham, WA",48.7544012,-122.478836
10167,"First Federal Bank of California, F.S.B.",Santa Monica,CA,"Santa Monica, CA",34.0194704,-118.491227
10161,Imperial Capital Bank,La Jolla,CA,"La Jolla, CA",32.8401623,-117.2740777
10166,Independent Bankers' Bank,Springfield,IL,"Springfield, IL",39.7990175,-89.6439575
10163,New South Federal Savings Bank,Irondale,AL,"Irondale, AL",33.5381601,-86.7072102
10162,Citizens State Bank,New Baltimore,MI,"New Baltimore, MI",42.6811436,-82.7368616
10165,Peoples First Community Bank,Panama City,FL,"Panama City, FL",30.1600827,-85.6545729
10164,RockBridge Commercial Bank,Atlanta,GA,"Atlanta, GA",33.7489924,-84.3902644
10160,SolutionsBank,Overland Park,KS,"Overland Park, KS",38.9742502,-94.6851702
10159,"Valley Capital Bank, N.A.",Mesa,AZ,"Mesa, AZ",33.4151005,-111.8314552
10158,"Republic Federal Bank, N.A.",Miami,FL,"Miami, FL",25.7741728,-80.19362
10156,Greater Atlantic Bank,Reston,VA,"Reston, VA",38.955696,-77.34188283719988
10154,Benchmark Bank,Aurora,IL,"Aurora, IL",41.7571701,-88.3147539
10155,AmTrust Bank,Cleveland,OH,"Cleveland, OH",41.4996574,-81.6936772
10153,The Tattnall Bank,Reidsville,GA,"Reidsville, GA",32.0868611,-82.1178978
10157,First Security National Bank,Norcross,GA,"Norcross, GA",33.9412127,-84.2135309
10152,The Buckhead Community Bank,Atlanta,GA,"Atlanta, GA",33.7489924,-84.3902644
10151,Commerce Bank of Southwest Florida,Fort Myers,FL,"Fort Myers, FL",26.640628,-81.8723084
10150,Pacific Coast National Bank,San Clemente,CA,"San Clemente, CA",33.4270275,-117.6124179
10149,Orion Bank,Naples,FL,"Naples, FL",26.1421976,-81.7942944
10148,"Century Bank, F.S.B.",Sarasota,FL,"Sarasota, FL",27.3365805,-82.5308545
10147,United Commercial Bank,San Francisco,CA,"San Francisco, CA",37.7790262,-122.419906
10146,Gateway Bank of St. Louis,St. Louis,MO,"St. Louis, MO",38.6280278,-90.1910154
10143,Prosperan Bank,Oakdale,MN,"Oakdale, MN",44.985624,-92.9645794
10144,Home Federal Savings Bank,Detroit,MI,"Detroit, MI",42.3315509,-83.0466403
10145,United Security Bank,Sparta,GA,"Sparta, GA",33.2757006,-82.9762589
10138,North Houston Bank,Houston,TX,"Houston, TX",29.7589382,-95.3676974
10142,Madisonville State Bank,Madisonville,TX,"Madisonville, TX",30.9498688,-95.9127773
10141,Citizens National Bank,Teague,TX,"Teague, TX",31.6271145,-96.2838621
10140,Park National Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10139,Pacific National Bank,San Francisco,CA,"San Francisco, CA",37.7790262,-122.419906
10134,California National Bank,Los Angeles,CA,"Los Angeles, CA",34.0536909,-118.242766
10135,San Diego National Bank,San Diego,CA,"San Diego, CA",32.7174202,-117.1627728
10137,Community Bank of Lemont,Lemont,IL,"Lemont, IL",41.6737149,-88.0016263
10136,"Bank USA, N.A.",Phoenix,AZ,"Phoenix, AZ",33.4484367,-112.074141
10128,First DuPage Bank,Westmont,IL,"Westmont, IL",41.7950525,-87.9751964
10133,Riverview Community Bank,Otsego,MN,"Otsego, MN",45.2812733,-93.614857
10132,Bank of Elmwood,Racine,WI,"Racine, WI",42.7260523,-87.7825242
10129,Flagship National Bank,Bradenton,FL,"Bradenton, FL",27.4989278,-82.5748194
10131,Hillcrest Bank Florida,Naples,FL,"Naples, FL",26.1421976,-81.7942944
10127,American United Bank,Lawrenceville,GA,"Lawrenceville, GA",33.9566391,-83.9890066
10130,Partners Bank,Naples,FL,"Naples, FL",26.1421976,-81.7942944
10126,San Joaquin Bank,Bakersfield,CA,"Bakersfield, CA",35.3738712,-119.0194639
10123,Southern Colorado National Bank,Pueblo,CO,"Pueblo, CO",38.2544472,-104.609141
10124,Jennings State Bank,Spring Grove,MN,"Spring Grove, MN",43.5610145,-91.6359516
10125,Warren Bank,Warren,MI,"Warren, MI",38.7535106,-91.1453948
10122,Georgian Bank,Atlanta,GA,"Atlanta, GA",33.7489924,-84.3902644
10121,"Irwin Union Bank, F.S.B.",Louisville,KY,"Louisville, KY",38.2542376,-85.759407
10120,Irwin Union Bank and Trust Company,Columbus,IN,"Columbus, IN",39.2014405,-85.9213796
10119,Venture Bank,Lacey,WA,"Lacey, WA",47.0263876,-122.8072257
10118,Brickwell Community Bank,Woodbury,MN,"Woodbury, MN",44.919896,-92.9339449
10117,"Corus Bank, N.A.",Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
10114,First State Bank,Flagstaff,AZ,"Flagstaff, AZ",35.1816047,-111.6165953319917
10115,Platinum Community Bank,Rolling Meadows,IL,"Rolling Meadows, IL",42.0841936,-88.0131275
10116,Vantus Bank,Sioux City,IA,"Sioux City, IA",42.4966815,-96.4058782
10113,InBank,Oak Forest,IL,"Oak Forest, IL",41.6028116,-87.7439384
10112,First Bank of Kansas City,Kansas City,MO,"Kansas City, MO",39.100105,-94.5781416
10110,Affinity Bank,Ventura,CA,"Ventura, CA",34.4458248,-119.0779359
10111,Mainstreet Bank,Forest Lake,MN,"Forest Lake, MN",45.279106,-92.9851629
10109,Bradford Bank,Baltimore,MD,"Baltimore, MD",39.2908816,-76.610759
10105,Guaranty Bank,Austin,TX,"Austin, TX",30.2711286,-97.7436995
10106,CapitalSouth Bank,Birmingham,AL,"Birmingham, AL",33.5206824,-86.8024326
10108,First Coweta Bank,Newnan,GA,"Newnan, GA",33.3806716,-84.7996573
10107,ebank,Atlanta,GA,"Atlanta, GA",33.7489924,-84.3902644
10100,Community Bank of Nevada,Las Vegas,NV,"Las Vegas, NV",36.1672559,-115.148516
10101,Community Bank of Arizona,Phoenix,AZ,"Phoenix, AZ",33.4484367,-112.074141
10102,"Union Bank, National Association",Gilbert,AZ,"Gilbert, AZ",33.3527632,-111.789037
10103,Colonial Bank,Montgomery,AL,"Montgomery, AL",32.3669656,-86.3006485
10104,Dwelling House Savings and Loan Association,Pittsburgh,PA,"Pittsburgh, PA",40.4416941,-79.9900861
10092,Community First Bank,Prineville,OR,"Prineville, OR",44.2998261,-120.834972
10099,Community National Bank of Sarasota County,Venice,FL,"Venice, FL",27.0999188,-82.4543597
10098,First State Bank,Sarasota,FL,"Sarasota, FL",27.3365805,-82.5308545
10094,Mutual Bank,Harvey,IL,"Harvey, IL",41.6100344,-87.6467132
10097,First BankAmericano,Elizabeth,NJ,"Elizabeth, NJ",40.6639916,-74.2107006
10096,Peoples Community Bank,West Chester,OH,"West Chester, OH",39.3303357,-84.408275
10095,Integrity Bank,Jupiter,FL,"Jupiter, FL",26.9342246,-80.0942087
10093,First State Bank of Altus,Altus,OK,"Altus, OK",34.6381255,-99.3339754
10088,Security Bank of Jones County,Gray,GA,"Gray, GA",33.0095802,-83.5337816
10087,Security Bank of Houston County,Perry,GA,"Perry, GA",32.4586695,-83.7319658
10085,Security Bank of Bibb County,Macon,GA,"Macon, GA",32.8406946,-83.6324022
10090,Security Bank of North Metro,Woodstock,GA,"Woodstock, GA",34.1014112,-84.5192192
10089,Security Bank of North Fulton,Alpharetta,GA,"Alpharetta, GA",34.0709576,-84.2747329
10086,Security Bank of Gwinnett County,Suwanee,GA,"Suwanee, GA",34.0514898,-84.0712997
10091,Waterford Village Bank,Williamsville,NY,"Williamsville, NY",42.9637836,-78.7377258
10082,Temecula Valley Bank,Temecula,CA,"Temecula, CA",33.4946353,-117.1473661
10083,Vineyard Bank,Rancho Cucamonga,CA,"Rancho Cucamonga, CA",34.1033192,-117.5751735
10081,BankFirst,Sioux Falls,SD,"Sioux Falls, SD",43.5488256,-96.7307737
10084,First Piedmont Bank,Winder,GA,"Winder, GA",33.9919085,-83.7184368
10080,Bank of Wyoming,Thermopolis,WY,"Thermopolis, WY",43.646067,-108.212043
10074,Founders Bank,Worth,IL,"Worth, IL",41.6899779,-87.7974139
10079,Millennium State Bank of Texas,Dallas,TX,"Dallas, TX",32.7762719,-96.7968559
10078,First National Bank of Danville,Danville,IL,"Danville, IL",40.125222,-87.6304614
10073,The Elizabeth State Bank,Elizabeth,IL,"Elizabeth, IL",42.3177911,-90.221517
10075,Rock River Bank,Oregon,IL,"Oregon, IL",42.0147513,-89.3323279
10077,First State Bank of Winchester,Winchester,IL,"Winchester, IL",39.629639,-90.4561955
10076,John Warner Bank,Clinton,IL,"Clinton, IL",38.5896187,-89.420064
10072,Mirae Bank,Los Angeles,CA,"Los Angeles, CA",34.0536909,-118.242766
10071,MetroPacific Bank,Irvine,CA,"Irvine, CA",33.6856969,-117.8259819
10070,Horizon Bank,Pine City,MN,"Pine City, MN",45.8260672,-92.9685423
10069,Neighborhood Community Bank,Newnan,GA,"Newnan, GA",33.3806716,-84.7996573
10068,Community Bank of West Georgia,Villa Rica,GA,"Villa Rica, GA",33.732052,-84.9191081
10066,First National Bank of Anthony,Anthony,KS,"Anthony, KS",37.1533554,-98.0311728
10065,Cooperative Bank,Wilmington,NC,"Wilmington, NC",34.2257282,-77.9447107
10067,Southern Community Bank,Fayetteville,GA,"Fayetteville, GA",33.4487257,-84.4549262
10064,Bank of Lincolnwood,Lincolnwood,IL,"Lincolnwood, IL",42.0055985,-87.735572
10063,Citizens National Bank,Macomb,IL,"Macomb, IL",40.4588934,-90.6713939
10062,Strategic Capital Bank,Champaign,IL,"Champaign, IL",40.1164841,-88.2430932
10061,"BankUnited, FSB",Coral Gables,FL,"Coral Gables, FL",25.72149,-80.2683838
10060,Westsound Bank,Bremerton,WA,"Bremerton, WA",47.5653663,-122.6246836
10057,America West Bank,Layton,UT,"Layton, UT",41.0751048,-111.9741925
10058,Citizens Community Bank,Ridgewood,NJ,"Ridgewood, NJ",40.9796683,-74.1194403
10059,"Silverton Bank, NA",Atlanta,GA,"Atlanta, GA",33.7489924,-84.3902644
10055,First Bank of Idaho,Ketchum,ID,"Ketchum, ID",43.680741,-114.363662
10054,First Bank of Beverly Hills,Calabasas,CA,"Calabasas, CA",34.1446643,-118.644097
10056,Michigan Heritage Bank,Farmington Hills,MI,"Farmington Hills, MI",42.4853125,-83.3771553
10053,American Southern Bank,Kennesaw,GA,"Kennesaw, GA",34.0234337,-84.6154897
10051,Great Basin Bank of Nevada,Elko,NV,"Elko, NV",41.1958128,-115.3272864
10052,American Sterling Bank,Sugar Creek,MO,"Sugar Creek, MO",39.1399165,-94.40303431420517
10050,New Frontier Bank,Greeley,CO,"Greeley, CO",40.4233142,-104.7091322
10049,Cape Fear Bank,Wilmington,NC,"Wilmington, NC",34.2257282,-77.9447107
10048,Omni National Bank,Atlanta,GA,"Atlanta, GA",33.7489924,-84.3902644
10046,"TeamBank, NA",Paola,KS,"Paola, KS",38.5723318,-94.8786484
10045,Colorado National Bank,Colorado Springs,CO,"Colorado Springs, CO",38.8339578,-104.825348
10047,FirstCity Bank,Stockbridge,GA,"Stockbridge, GA",33.5442781,-84.2338093
10044,Freedom Bank of Georgia,Commerce,GA,"Commerce, GA",34.203997,-83.4571058
10043,Security Savings Bank,Henderson,NV,"Henderson, NV",36.0301134,-114.9826194
10042,Heritage Community Bank,Glenwood,IL,"Glenwood, IL",41.5424867,-87.6022765
10041,Silver Falls Bank,Silverton,OR,"Silverton, OR",45.0049305,-122.7832947
10040,Pinnacle Bank of Oregon,Beaverton,OR,"Beaverton, OR",45.4871723,-122.80378
10037,Corn Belt Bank & Trust Co.,Pittsfield,IL,"Pittsfield, IL",39.6078254,-90.805129
10038,Riverside Bank of the Gulf Coast,Cape Coral,FL,"Cape Coral, FL",26.6059432,-81.9806771
10039,Sherman County Bank,Loup City,NE,"Loup City, NE",41.2747492,-98.9672755
10034,County Bank,Merced,CA,"Merced, CA",37.1641544,-120.7678602
10035,Alliance Bank,Culver City,CA,"Culver City, CA",34.0211224,-118.396466
10036,FirstBank Financial Services,McDonough,GA,"McDonough, GA",33.4473361,-84.1468616
10032,Ocala National Bank,Ocala,FL,"Ocala, FL",29.1871986,-82.1400923
10033,Suburban FSB,Crofton,MD,"Crofton, MD",39.01595465,-76.68420565430054
10031,MagnetBank,Salt Lake City,UT,"Salt Lake City, UT",40.7596198,-111.886797
10030,1st Centennial Bank,Redlands,CA,"Redlands, CA",34.0550328,-117.1827445
10029,Bank of Clark County,Vancouver,WA,"Vancouver, WA",45.6306954,-122.6744557
10028,National Bank of Commerce,Berkeley,IL,"Berkeley, IL",41.8889194,-87.9033956
10026,Sanderson State Bank,Sanderson,TX,"Sanderson, TX",30.1424077,-102.394024
10027,Haven Trust Bank,Duluth,GA,"Duluth, GA",34.0028569,-84.1441046
10025,First Georgia Community Bank,Jackson,GA,"Jackson, GA",34.1282559,-83.5753386
10024,PFF Bank & Trust,Pomona,CA,"Pomona, CA",34.0553813,-117.7517496
10023,Downey Savings & Loan,Newport Beach,CA,"Newport Beach, CA",33.6170092,-117.9294401
10022,Community Bank,Loganville,GA,"Loganville, GA",33.8389977,-83.9007382
10020,Security Pacific Bank,Los Angeles,CA,"Los Angeles, CA",34.0536909,-118.242766
10021,"Franklin Bank, SSB",Houston,TX,"Houston, TX",29.7589382,-95.3676974
10019,Freedom Bank,Bradenton,FL,"Bradenton, FL",27.4989278,-82.5748194
10018,Alpha Bank & Trust,Alpharetta,GA,"Alpharetta, GA",34.0709576,-84.2747329
10017,Meridian Bank,Eldred,IL,"Eldred, IL",39.2875475,-90.5523438
10016,Main Street Bank,Northville,MI,"Northville, MI",42.4310806,-83.4832262
10015,Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB),Henderson,NV,"Henderson, NV",36.0301134,-114.9826194
10014,Ameribank,Northfork,WV,"Northfork, WV",37.420948,-81.4401034
10013,Silver State Bank,Henderson,NV,"Henderson, NV",36.0301134,-114.9826194
10012,Integrity Bank,Alpharetta,GA,"Alpharetta, GA",34.0709576,-84.2747329
10011,Columbian Bank & Trust,Topeka,KS,"Topeka, KS",39.049011,-95.677556
10010,First Priority Bank,Bradenton,FL,"Bradenton, FL",27.4989278,-82.5748194
10009,"First Heritage Bank, NA",Newport Beach,CA,"Newport Beach, CA",33.6170092,-117.9294401
10008,First National Bank of Nevada,Reno,NV,"Reno, NV",39.5261206,-119.8126581
10007,IndyMac Bank,Pasadena,CA,"Pasadena, CA",34.1476452,-118.1444779
10006,"First Integrity Bank, NA",Staples,MN,"Staples, MN",46.3550001,-94.7933333
10005,"ANB Financial, NA",Bentonville,AR,"Bentonville, AR",36.3728538,-94.2088172
10004,Hume Bank,Hume,MO,"Hume, MO",38.0900314,-94.5838444
10003,Douglass National Bank,Kansas City,MO,"Kansas City, MO",39.100105,-94.5781416
10002,Miami Valley Bank,Lakeview,OH,"Lakeview, OH",40.4847717,-83.9229952
10001,NetBank,Alpharetta,GA,"Alpharetta, GA",34.0709576,-84.2747329
10000,Metropolitan Savings Bank,Pittsburgh,PA,"Pittsburgh, PA",40.4416941,-79.9900861
4665,Bank of Ephraim,Ephraim,UT,"Ephraim, UT",39.3596842,-111.586305
4664,Reliance Bank,White Plains,NY,"White Plains, NY",41.0339862,-73.7629097
4663,Guaranty National Bank of Tallahassee,Tallahassee,FL,"Tallahassee, FL",30.4380832,-84.2809332
6006,Dollar Savings Bank,Newark,NJ,"Newark, NJ",40.735657,-74.1723667
4662,Pulaski Savings Bank,Philadelphia,PA,"Philadelphia, PA",39.9527237,-75.1635262
4661,First National Bank of Blanchardville,Blanchardville,WI,"Blanchardville, WI",42.81032,-89.8622149
4660,Southern Pacific Bank,Torrance,CA,"Torrance, CA",33.8358492,-118.3406288
4659,Farmers Bank of Cheneyville,Cheneyville,LA,"Cheneyville, LA",31.0149128,-92.2873521
4658,Bank of Alamo,Alamo,TN,"Alamo, TN",35.7847949,-89.1172883
4657,AmTrade International Bank,Atlanta,GA,"Atlanta, GA",33.7489924,-84.3902644
6005,Universal Federal Savings Bank,Chicago,IL,"Chicago, IL",41.8755616,-87.6244212
4656,Connecticut Bank of Commerce,Stamford,CT,"Stamford, CT",41.0469042,-73.5420246
4655,New Century Bank,Shelby Township,MI,"Shelby Township, MI",43.5974492,-86.33795121652116
4654,Net 1st National Bank,Boca Raton,FL,"Boca Raton, FL",26.3586885,-80.0830984
4653,"NextBank, NA",Phoenix,AZ,"Phoenix, AZ",33.4484367,-112.074141
4652,Oakwood Deposit Bank Co.,Oakwood,OH,"Oakwood, OH",41.365333,-81.507896
4651,Bank of Sierra Blanca,Sierra Blanca,TX,"Sierra Blanca, TX",31.1778312,-105.357627
4650,"Hamilton Bank, NA",Miami,FL,"Miami, FL",25.7741728,-80.19362
4649,Sinclair National Bank,Gravette,AR,"Gravette, AR",36.4208054,-94.4526535
6004,"Superior Bank, FSB",Hinsdale,IL,"Hinsdale, IL",41.8024604,-87.9299841
4648,Malta National Bank,Malta,OH,"Malta, OH",39.6492377,-81.8620804
4647,First Alliance Bank & Trust Co.,Manchester,NH,"Manchester, NH",42.9956397,-71.4547891
4646,National State Bank of Metropolis,Metropolis,IL,"Metropolis, IL",37.1511655,-88.7319979
4645,Bank of Honolulu,Honolulu,HI,"Honolulu, HI",21.304547,-157.855676
